n_trained,F1_mean,F1_std,P_mean,P_std,R_mean,R_std,EM_mean,EM_std,gen_gram_mean,gen_gram_std,gen_novel_mean,gen_novel_std,gen_gram_novel_mean,gen_gram_novel_std,p_parse_legal_mean,p_parse_legal_std,prim_active_mean,prim_active_std
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,0.2678,0.3291,0.2678,0.3291,0.2678,0.3291,0.1250,0.1533,0.7700,0.3140,0.3500,0.2550,0.1200,0.1030,1.0000,0.0000,0.5000,0.0632
20,0.8007,0.0408,0.8007,0.0408,0.8007,0.0408,0.4700,0.0828,0.7900,0.1241,0.2800,0.1030,0.0700,0.0600,1.0000,0.0000,0.7500,0.0316
30,0.7917,0.0359,0.7917,0.0359,0.7917,0.0359,0.4400,0.0339,0.8300,0.0872,0.2600,0.0583,0.0900,0.0735,1.0000,0.0000,0.8333,0.0211
40,0.8423,0.0455,0.8423,0.0455,0.8423,0.0455,0.5800,0.1065,0.8600,0.0860,0.2500,0.1095,0.1100,0.1158,1.0000,0.0000,0.8750,0.0158
50,0.8378,0.0380,0.8378,0.0380,0.8378,0.0380,0.5900,0.0718,0.9000,0.0837,0.2700,0.0748,0.1700,0.0400,1.0000,0.0000,0.9000,0.0126
60,0.8429,0.0232,0.8429,0.0232,0.8429,0.0232,0.6100,0.0255,0.9000,0.0447,0.2700,0.0510,0.1700,0.0245,1.0000,0.0000,0.9167,0.0105
70,0.8301,0.0211,0.8301,0.0211,0.8301,0.0211,0.5600,0.0561,0.8100,0.0860,0.4700,0.1503,0.2800,0.0980,1.0000,0.0000,0.9286,0.0090
80,0.8558,0.0288,0.8558,0.0288,0.8558,0.0288,0.6100,0.0875,0.8800,0.0748,0.3700,0.1435,0.2500,0.1378,1.0000,0.0000,0.9375,0.0079
90,0.8656,0.0314,0.8656,0.0314,0.8656,0.0314,0.6400,0.0682,0.9200,0.0812,0.2700,0.1435,0.1900,0.1241,1.0000,0.0000,0.9444,0.0071
100,0.8861,0.0332,0.8861,0.0332,0.8861,0.0332,0.6750,0.0949,0.9700,0.0245,0.2300,0.1030,0.2000,0.0894,1.0000,0.0000,0.9500,0.0063
110,0.8864,0.0500,0.8864,0.0500,0.8864,0.0500,0.6650,0.1522,0.9400,0.0490,0.3300,0.1327,0.2700,0.0980,1.0000,0.0000,0.9545,0.0057
120,0.8657,0.0412,0.8657,0.0412,0.8657,0.0412,0.6300,0.1177,0.9300,0.1166,0.2300,0.1208,0.1600,0.0583,1.0000,0.0000,0.9583,0.0053
130,0.8711,0.0322,0.8711,0.0322,0.8711,0.0322,0.6350,0.0700,0.9500,0.0548,0.3200,0.0812,0.2700,0.1166,1.0000,0.0000,0.9615,0.0049
140,0.8767,0.0315,0.8767,0.0315,0.8767,0.0315,0.6750,0.0632,0.9300,0.0872,0.3200,0.1208,0.2500,0.1049,1.0000,0.0000,0.9643,0.0045
150,0.8842,0.0320,0.8842,0.0320,0.8842,0.0320,0.6850,0.0735,0.9500,0.0447,0.3000,0.0316,0.2500,0.0548,1.0000,0.0000,0.9667,0.0042
160,0.8941,0.0334,0.8941,0.0334,0.8941,0.0334,0.6900,0.0846,0.9700,0.0245,0.2400,0.0663,0.2100,0.0583,1.0000,0.0000,0.9688,0.0040
170,0.9061,0.0362,0.9061,0.0362,0.9061,0.0362,0.7300,0.0967,0.9500,0.0316,0.2300,0.0600,0.1800,0.0400,1.0000,0.0000,0.9706,0.0037
180,0.9076,0.0341,0.9076,0.0341,0.9076,0.0341,0.7250,0.1037,1.0000,0.0000,0.3000,0.1140,0.3000,0.1140,1.0000,0.0000,0.9722,0.0035
190,0.8950,0.0316,0.8950,0.0316,0.8950,0.0316,0.7050,0.0914,0.9900,0.0200,0.2700,0.1166,0.2600,0.1241,1.0000,0.0000,0.9737,0.0033
200,0.9077,0.0212,0.9077,0.0212,0.9077,0.0212,0.7450,0.0557,0.9800,0.0245,0.3000,0.0949,0.2800,0.0748,1.0000,0.0000,0.9750,0.0032
210,0.9142,0.0352,0.9142,0.0352,0.9142,0.0352,0.7650,0.0718,0.9700,0.0400,0.3400,0.0663,0.3100,0.0583,1.0000,0.0000,0.9762,0.0030
220,0.9120,0.0464,0.9120,0.0464,0.9120,0.0464,0.7650,0.1044,0.9600,0.0374,0.3500,0.1140,0.3100,0.0970,1.0000,0.0000,0.9773,0.0029
230,0.9197,0.0324,0.9197,0.0324,0.9197,0.0324,0.7900,0.0903,0.9900,0.0200,0.3100,0.1200,0.3000,0.1140,1.0000,0.0000,0.9783,0.0028
240,0.9230,0.0308,0.9230,0.0308,0.9230,0.0308,0.7900,0.0846,0.9500,0.0447,0.3300,0.1077,0.2800,0.1208,1.0000,0.0000,0.9792,0.0026
250,0.9387,0.0258,0.9387,0.0258,0.9387,0.0258,0.8250,0.0652,0.9700,0.0245,0.3000,0.1342,0.2700,0.1208,1.0000,0.0000,0.9800,0.0025
260,0.9128,0.0483,0.9128,0.0483,0.9128,0.0483,0.7500,0.1037,1.0000,0.0000,0.4100,0.0735,0.4100,0.0735,1.0000,0.0000,0.9808,0.0024
270,0.9269,0.0287,0.9269,0.0287,0.9269,0.0287,0.7800,0.0620,0.9800,0.0245,0.3600,0.0583,0.3400,0.0583,1.0000,0.0000,0.9815,0.0023
280,0.9283,0.0296,0.9283,0.0296,0.9283,0.0296,0.7850,0.0644,0.9800,0.0245,0.3400,0.1068,0.3200,0.1030,1.0000,0.0000,0.9821,0.0022
290,0.9326,0.0304,0.9326,0.0304,0.9326,0.0304,0.8000,0.0570,0.9800,0.0245,0.4200,0.0980,0.4000,0.0894,1.0000,0.0000,0.9828,0.0022
300,0.9294,0.0299,0.9294,0.0299,0.9294,0.0299,0.7850,0.0604,0.9900,0.0200,0.2900,0.1158,0.2800,0.1208,1.0000,0.0000,0.9833,0.0021
310,0.9241,0.0332,0.9241,0.0332,0.9241,0.0332,0.7750,0.0975,0.9800,0.0245,0.4100,0.0735,0.3900,0.0663,1.0000,0.0000,0.9839,0.0021
320,0.9388,0.0272,0.9388,0.0272,0.9388,0.0272,0.8250,0.0500,0.9824,0.0069,0.3604,0.0340,0.3428,0.0338,1.0000,0.0000,0.9844,0.0020
