n_trained,parse_F1,parse_P,parse_R,parse_EM,gen_gram,gen_novel,gen_lex,gen_gram_novel,p_parse_legal,gen_n,prim_active_frac
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000
10,0.0000,0.0000,0.0000,0.0000,1.0000,0.2000,1.0000,0.2000,1.0000,20,0.6000
20,0.7452,0.7452,0.7452,0.3750,0.9000,0.2000,1.0000,0.1000,1.0000,20,0.8000
30,0.7413,0.7413,0.7413,0.4500,0.9000,0.2500,1.0000,0.1500,1.0000,20,0.8667
40,0.7838,0.7838,0.7838,0.4750,1.0000,0.2500,1.0000,0.2500,1.0000,20,0.9000
50,0.8417,0.8417,0.8417,0.6000,0.9000,0.3000,1.0000,0.2000,1.0000,20,0.9200
60,0.8069,0.8069,0.8069,0.6000,0.9500,0.2500,1.0000,0.2000,1.0000,20,0.9333
70,0.7992,0.7992,0.7992,0.5750,0.8000,0.5000,1.0000,0.3000,1.0000,20,0.9429
80,0.8378,0.8378,0.8378,0.5750,0.8500,0.5000,1.0000,0.3500,1.0000,20,0.9500
90,0.8533,0.8533,0.8533,0.7000,0.9500,0.2000,1.0000,0.1500,1.0000,20,0.9556
100,0.8803,0.8803,0.8803,0.7000,1.0000,0.1500,1.0000,0.1500,1.0000,20,0.9600
110,0.9421,0.9421,0.9421,0.8250,0.9500,0.4000,1.0000,0.3500,1.0000,20,0.9636
120,0.8610,0.8610,0.8610,0.7000,1.0000,0.2000,1.0000,0.2000,1.0000,20,0.9667
130,0.8726,0.8726,0.8726,0.6750,1.0000,0.3500,1.0000,0.3500,1.0000,20,0.9692
140,0.8687,0.8687,0.8687,0.7250,1.0000,0.2000,1.0000,0.2000,1.0000,20,0.9714
150,0.8996,0.8996,0.8996,0.7250,0.9000,0.3000,1.0000,0.2000,1.0000,20,0.9733
160,0.9035,0.9035,0.9035,0.7000,0.9500,0.2000,1.0000,0.1500,1.0000,20,0.9750
170,0.9112,0.9112,0.9112,0.7750,1.0000,0.1500,1.0000,0.1500,1.0000,20,0.9765
180,0.9189,0.9189,0.9189,0.7750,1.0000,0.4000,1.0000,0.4000,1.0000,20,0.9778
190,0.8996,0.8996,0.8996,0.7250,1.0000,0.2000,1.0000,0.2000,1.0000,20,0.9789
200,0.9112,0.9112,0.9112,0.7500,1.0000,0.2000,1.0000,0.2000,1.0000,20,0.9800
210,0.9305,0.9305,0.9305,0.7750,1.0000,0.3500,1.0000,0.3500,1.0000,20,0.9810
220,0.9344,0.9344,0.9344,0.8000,1.0000,0.3500,1.0000,0.3500,1.0000,20,0.9818
230,0.9151,0.9151,0.9151,0.8000,1.0000,0.2500,1.0000,0.2500,1.0000,20,0.9826
240,0.9112,0.9112,0.9112,0.7500,0.9000,0.3000,1.0000,0.2000,1.0000,20,0.9833
250,0.9537,0.9537,0.9537,0.8500,0.9500,0.2500,1.0000,0.2000,1.0000,20,0.9840
260,0.9344,0.9344,0.9344,0.7750,1.0000,0.4000,1.0000,0.4000,1.0000,20,0.9846
270,0.9344,0.9344,0.9344,0.7750,1.0000,0.3500,1.0000,0.3500,1.0000,20,0.9852
280,0.9344,0.9344,0.9344,0.7750,1.0000,0.2000,1.0000,0.2000,1.0000,20,0.9857
290,0.9344,0.9344,0.9344,0.8000,0.9500,0.5500,1.0000,0.5000,1.0000,20,0.9862
300,0.9344,0.9344,0.9344,0.7750,1.0000,0.5000,1.0000,0.5000,1.0000,20,0.9867
310,0.9382,0.9382,0.9382,0.8000,1.0000,0.3000,1.0000,0.3000,1.0000,20,0.9871
320,0.9459,0.9459,0.9459,0.8000,0.9740,0.3340,1.0000,0.3080,1.0000,500,0.9875
