n_trained,F1_mean,F1_std,P_mean,P_std,R_mean,R_std,EM_mean,EM_std,gen_gram_mean,gen_gram_std,gen_novel_mean,gen_novel_std,gen_gram_novel_mean,gen_gram_novel_std,p_parse_legal_mean,p_parse_legal_std,prim_active_mean,prim_active_std
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,0.5582,0.2926,0.5582,0.2926,0.5582,0.2926,0.2300,0.1778,0.7000,0.0949,0.4100,0.1625,0.1100,0.1068,1.0000,0.0000,0.5200,0.0748
20,0.8085,0.0473,0.8085,0.0473,0.8085,0.0473,0.4550,0.1336,0.7500,0.1342,0.5000,0.1378,0.2500,0.0837,1.0000,0.0000,0.7600,0.0374
30,0.7951,0.0672,0.7951,0.0672,0.7951,0.0672,0.4700,0.1177,0.8000,0.0707,0.4000,0.1378,0.2000,0.1049,1.0000,0.0000,0.8400,0.0250
40,0.8356,0.0270,0.8356,0.0270,0.8356,0.0270,0.5300,0.0886,0.8300,0.0872,0.3700,0.1600,0.2000,0.1378,1.0000,0.0000,0.8800,0.0187
50,0.8313,0.0463,0.8313,0.0463,0.8313,0.0463,0.5300,0.1364,0.8900,0.0735,0.3800,0.1249,0.2700,0.0678,1.0000,0.0000,0.9040,0.0150
60,0.8710,0.0275,0.8710,0.0275,0.8710,0.0275,0.6450,0.0332,0.8500,0.1265,0.4000,0.1581,0.2500,0.1095,1.0000,0.0000,0.9200,0.0125
70,0.8739,0.0294,0.8739,0.0294,0.8739,0.0294,0.6350,0.0943,0.8800,0.0927,0.2900,0.1020,0.1700,0.0510,1.0000,0.0000,0.9315,0.0107
80,0.8802,0.0330,0.8802,0.0330,0.8802,0.0330,0.6300,0.0731,0.9400,0.0970,0.4100,0.1200,0.3500,0.1049,1.0000,0.0000,0.9400,0.0094
90,0.9035,0.0277,0.9035,0.0277,0.9035,0.0277,0.6750,0.0689,0.9600,0.0374,0.3500,0.0632,0.3100,0.0583,1.0000,0.0000,0.9467,0.0083
100,0.9051,0.0325,0.9051,0.0325,0.9051,0.0325,0.6800,0.0857,0.9500,0.0316,0.4200,0.0678,0.3700,0.0600,1.0000,0.0000,0.9520,0.0075
110,0.9059,0.0163,0.9059,0.0163,0.9059,0.0163,0.6500,0.0791,0.9300,0.0600,0.4000,0.1483,0.3300,0.1122,1.0000,0.0000,0.9563,0.0068
120,0.9191,0.0115,0.9191,0.0115,0.9191,0.0115,0.7150,0.0561,0.9500,0.0447,0.4500,0.0894,0.4000,0.0632,1.0000,0.0000,0.9600,0.0063
130,0.9105,0.0223,0.9105,0.0223,0.9105,0.0223,0.6600,0.0957,0.9100,0.0917,0.4000,0.1949,0.3100,0.1158,1.0000,0.0000,0.9630,0.0058
140,0.9361,0.0072,0.9361,0.0072,0.9361,0.0072,0.7950,0.0332,0.9500,0.0775,0.3200,0.0927,0.2700,0.0872,1.0000,0.0000,0.9657,0.0053
150,0.9483,0.0197,0.9483,0.0197,0.9483,0.0197,0.8350,0.0374,0.9600,0.0374,0.4300,0.0748,0.3900,0.0583,1.0000,0.0000,0.9680,0.0050
160,0.9351,0.0320,0.9351,0.0320,0.9351,0.0320,0.7950,0.0731,0.9600,0.0800,0.3800,0.0872,0.3400,0.0917,1.0000,0.0000,0.9700,0.0047
170,0.9559,0.0123,0.9559,0.0123,0.9559,0.0123,0.8650,0.0490,1.0000,0.0000,0.3300,0.1122,0.3300,0.1122,1.0000,0.0000,0.9718,0.0044
180,0.9552,0.0191,0.9552,0.0191,0.9552,0.0191,0.8500,0.0775,0.9700,0.0245,0.3300,0.0678,0.3000,0.0632,1.0000,0.0000,0.9733,0.0042
190,0.9613,0.0195,0.9613,0.0195,0.9613,0.0195,0.8700,0.0696,0.9900,0.0200,0.3800,0.0510,0.3700,0.0510,1.0000,0.0000,0.9747,0.0039
200,0.9635,0.0147,0.9635,0.0147,0.9635,0.0147,0.8800,0.0620,0.9500,0.0316,0.3700,0.1122,0.3200,0.0872,1.0000,0.0000,0.9760,0.0037
210,0.9694,0.0118,0.9694,0.0118,0.9694,0.0118,0.9000,0.0548,0.9800,0.0245,0.3600,0.1020,0.3400,0.0860,1.0000,0.0000,0.9772,0.0036
220,0.9599,0.0329,0.9599,0.0329,0.9599,0.0329,0.8850,0.1020,0.9800,0.0400,0.3100,0.1241,0.2900,0.1068,1.0000,0.0000,0.9782,0.0034
