n_trained,parse_F1,parse_P,parse_R,parse_EM,gen_gram,gen_novel,gen_lex,gen_gram_novel,p_parse_legal,gen_n,prim_active_frac
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000
10,0.5749,0.5749,0.5749,0.2000,0.6000,0.7000,1.0000,0.3000,1.0000,20,0.5000
20,0.8397,0.8397,0.8397,0.4750,0.7000,0.6500,1.0000,0.3500,1.0000,20,0.7500
30,0.8188,0.8188,0.8188,0.4000,0.7500,0.6500,1.0000,0.4000,1.0000,20,0.8333
40,0.8014,0.8014,0.8014,0.3750,0.8000,0.3000,1.0000,0.1000,1.0000,20,0.8750
50,0.8467,0.8467,0.8467,0.5750,0.8000,0.5500,1.0000,0.3500,1.0000,20,0.9000
60,0.8815,0.8815,0.8815,0.6500,0.7000,0.5000,1.0000,0.2000,1.0000,20,0.9167
70,0.8850,0.8850,0.8850,0.6500,0.7000,0.4500,1.0000,0.1500,1.0000,20,0.9286
80,0.8850,0.8850,0.8850,0.6000,0.7500,0.5500,1.0000,0.3000,1.0000,20,0.9375
90,0.9164,0.9164,0.9164,0.7000,0.9500,0.3000,1.0000,0.2500,1.0000,20,0.9444
100,0.8955,0.8955,0.8955,0.6500,0.9000,0.5000,1.0000,0.4000,1.0000,20,0.9500
110,0.8955,0.8955,0.8955,0.6750,0.8500,0.4500,1.0000,0.3000,1.0000,20,0.9545
120,0.9094,0.9094,0.9094,0.7250,0.9000,0.4500,1.0000,0.3500,1.0000,20,0.9583
130,0.8815,0.8815,0.8815,0.6000,0.8000,0.6000,1.0000,0.4000,1.0000,20,0.9615
140,0.9233,0.9233,0.9233,0.7500,0.8000,0.4000,1.0000,0.2000,1.0000,20,0.9643
150,0.9582,0.9582,0.9582,0.8500,0.9500,0.5000,1.0000,0.4500,1.0000,20,0.9667
160,0.9477,0.9477,0.9477,0.8000,1.0000,0.4500,1.0000,0.4500,1.0000,20,0.9688
170,0.9582,0.9582,0.9582,0.8750,1.0000,0.4000,1.0000,0.4000,1.0000,20,0.9706
180,0.9373,0.9373,0.9373,0.8000,1.0000,0.3500,1.0000,0.3500,1.0000,20,0.9722
190,0.9373,0.9373,0.9373,0.8000,0.9500,0.4000,1.0000,0.3500,1.0000,20,0.9737
200,0.9756,0.9756,0.9756,0.9250,0.9000,0.5500,1.0000,0.4500,1.0000,20,0.9750
210,0.9721,0.9721,0.9721,0.9000,0.9500,0.5000,1.0000,0.4500,1.0000,20,0.9762
220,0.9582,0.9582,0.9582,0.8500,1.0000,0.4000,1.0000,0.4000,1.0000,20,0.9773
230,0.9617,0.9617,0.9617,0.8750,1.0000,0.4500,1.0000,0.4500,1.0000,20,0.9783
240,0.9652,0.9652,0.9652,0.8750,0.9500,0.4500,1.0000,0.4000,1.0000,20,0.9792
250,0.9582,0.9582,0.9582,0.8500,1.0000,0.3000,1.0000,0.3000,1.0000,20,0.9800
260,0.9059,0.9059,0.9059,0.7250,1.0000,0.5500,1.0000,0.5500,1.0000,20,0.9808
270,0.9338,0.9338,0.9338,0.7750,1.0000,0.5000,1.0000,0.5000,1.0000,20,0.9815
280,0.9303,0.9303,0.9303,0.7500,1.0000,0.4500,1.0000,0.4500,1.0000,20,0.9821
290,0.9443,0.9443,0.9443,0.8250,0.9500,0.5500,1.0000,0.5000,1.0000,20,0.9828
300,0.9443,0.9443,0.9443,0.8250,0.9500,0.3500,1.0000,0.3000,1.0000,20,0.9833
310,0.9582,0.9582,0.9582,0.8750,1.0000,0.6000,1.0000,0.6000,1.0000,20,0.9839
320,0.9582,0.9582,0.9582,0.8750,0.9940,0.4940,1.0000,0.4880,1.0000,500,0.9844
