n_trained,F1_mean,F1_std,P_mean,P_std,R_mean,R_std,EM_mean,EM_std,gen_gram_mean,gen_gram_std,gen_novel_mean,gen_novel_std,gen_gram_novel_mean,gen_gram_novel_std,p_parse_legal_mean,p_parse_legal_std,prim_active_mean,prim_active_std
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9400,0.1200,0.0600,0.1200,0.0000,0.0000,1.0000,0.0000,0.3000,0.0000
20,0.9288,0.1004,0.9288,0.1004,0.9288,0.1004,0.7800,0.2745,0.9700,0.0400,0.0500,0.0548,0.0200,0.0245,1.0000,0.0000,0.6500,0.0000
30,0.9750,0.0205,0.9750,0.0205,0.9750,0.0205,0.9000,0.0822,0.9100,0.0970,0.1300,0.1208,0.0400,0.0490,1.0000,0.0000,0.7667,0.0000
40,0.9950,0.0073,0.9950,0.0073,0.9950,0.0073,0.9800,0.0292,1.0000,0.0000,0.1600,0.0800,0.1600,0.0800,1.0000,0.0000,0.8250,0.0000
50,0.9988,0.0025,0.9988,0.0025,0.9988,0.0025,0.9950,0.0100,1.0000,0.0000,0.2100,0.0583,0.2100,0.0583,1.0000,0.0000,0.8600,0.0000
60,0.9988,0.0025,0.9988,0.0025,0.9988,0.0025,0.9950,0.0100,1.0000,0.0000,0.2200,0.0510,0.2200,0.0510,1.0000,0.0000,0.8833,0.0000
70,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,0.2600,0.0970,0.2600,0.0970,1.0000,0.0000,0.9000,0.0000
80,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,0.2500,0.0894,0.2500,0.0894,1.0000,0.0000,0.9125,0.0000
90,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,0.2000,0.0707,0.2000,0.0707,1.0000,0.0000,0.9222,0.0000
100,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,0.2500,0.0894,0.2500,0.0894,1.0000,0.0000,0.9300,0.0000
110,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,0.1400,0.0374,0.1400,0.0374,1.0000,0.0000,0.9364,0.0000
120,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,0.1600,0.0490,0.1600,0.0490,1.0000,0.0000,0.9417,0.0000
130,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,0.2400,0.0735,0.2400,0.0735,1.0000,0.0000,0.9462,0.0000
140,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,0.2400,0.0735,0.2400,0.0735,1.0000,0.0000,0.9500,0.0000
150,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,0.1500,0.0316,0.1500,0.0316,1.0000,0.0000,0.9533,0.0000
160,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,0.2000,0.0447,0.2000,0.0447,1.0000,0.0000,0.9563,0.0000
170,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,0.2700,0.1327,0.2700,0.1327,1.0000,0.0000,0.9588,0.0000
180,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,0.2000,0.0447,0.2000,0.0447,1.0000,0.0000,0.9611,0.0000
190,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,0.2500,0.1378,0.2500,0.1378,1.0000,0.0000,0.9632,0.0000
200,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,0.2100,0.1068,0.2100,0.1068,1.0000,0.0000,0.9650,0.0000
210,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,0.1900,0.1319,0.1900,0.1319,1.0000,0.0000,0.9667,0.0000
220,0.9988,0.0025,0.9988,0.0025,0.9988,0.0025,0.9950,0.0100,1.0000,0.0000,0.2400,0.1463,0.2400,0.1463,1.0000,0.0000,0.9682,0.0000
230,0.9988,0.0025,0.9988,0.0025,0.9988,0.0025,0.9950,0.0100,1.0000,0.0000,0.1500,0.0316,0.1500,0.0316,1.0000,0.0000,0.9696,0.0000
240,0.9988,0.0025,0.9988,0.0025,0.9988,0.0025,0.9950,0.0100,1.0000,0.0000,0.2200,0.0927,0.2200,0.0927,1.0000,0.0000,0.9708,0.0000
250,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,0.1800,0.0812,0.1800,0.0812,1.0000,0.0000,0.9720,0.0000
260,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,0.1600,0.0490,0.1600,0.0490,1.0000,0.0000,0.9731,0.0000
270,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,0.2400,0.1158,0.2400,0.1158,1.0000,0.0000,0.9741,0.0000
280,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,0.2000,0.0894,0.2000,0.0894,1.0000,0.0000,0.9750,0.0000
290,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,0.2600,0.1463,0.2600,0.1463,1.0000,0.0000,0.9759,0.0000
300,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,0.1800,0.0245,0.1800,0.0245,1.0000,0.0000,0.9767,0.0000
310,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,0.2200,0.1166,0.2200,0.1166,1.0000,0.0000,0.9774,0.0000
320,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,0.2240,0.0318,0.2240,0.0318,1.0000,0.0000,0.9781,0.0000
