n_trained,F1_mean,F1_std,P_mean,P_std,R_mean,R_std,EM_mean,EM_std,gen_gram_mean,gen_gram_std,gen_novel_mean,gen_novel_std,gen_gram_novel_mean,gen_gram_novel_std,p_parse_legal_mean,p_parse_legal_std,prim_active_mean,prim_active_std
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,0.3128,0.3477,0.3128,0.3477,0.3128,0.3477,0.1120,0.1459,0.8375,0.1680,0.2075,0.1705,0.0450,0.0757,1.0000,0.0000,0.5150,0.0654
20,0.7671,0.0328,0.7671,0.0328,0.7671,0.0328,0.4205,0.0739,0.8000,0.1095,0.3075,0.1217,0.1075,0.0855,1.0000,0.0000,0.7575,0.0327
30,0.8021,0.0343,0.8021,0.0343,0.8021,0.0343,0.5015,0.0672,0.8975,0.0750,0.2550,0.0705,0.1525,0.0955,1.0000,0.0000,0.8383,0.0218
40,0.8199,0.0439,0.8199,0.0439,0.8199,0.0439,0.5555,0.0865,0.8825,0.0810,0.2600,0.1068,0.1425,0.0965,1.0000,0.0000,0.8787,0.0163
50,0.8143,0.0420,0.8143,0.0420,0.8143,0.0420,0.5420,0.0904,0.8975,0.0798,0.2650,0.0923,0.1625,0.0820,1.0000,0.0000,0.9030,0.0131
60,0.8258,0.0364,0.8258,0.0364,0.8258,0.0364,0.5785,0.0685,0.9075,0.0597,0.2925,0.1052,0.2000,0.0922,1.0000,0.0000,0.9192,0.0109
70,0.8263,0.0471,0.8263,0.0471,0.8263,0.0471,0.5740,0.0968,0.8975,0.0798,0.3400,0.1290,0.2375,0.1192,1.0000,0.0000,0.9307,0.0093
80,0.8433,0.0377,0.8433,0.0377,0.8433,0.0377,0.6110,0.0836,0.8925,0.0855,0.3200,0.1444,0.2125,0.1023,1.0000,0.0000,0.9394,0.0082
90,0.8545,0.0331,0.8545,0.0331,0.8545,0.0331,0.6325,0.0686,0.9325,0.0638,0.2925,0.1217,0.2250,0.1019,1.0000,0.0000,0.9461,0.0073
100,0.8652,0.0359,0.8652,0.0359,0.8652,0.0359,0.6550,0.0818,0.9250,0.0661,0.3350,0.1459,0.2600,0.1310,1.0000,0.0000,0.9515,0.0065
110,0.8762,0.0304,0.8762,0.0304,0.8762,0.0304,0.6875,0.0931,0.9350,0.0594,0.3025,0.1054,0.2375,0.1083,1.0000,0.0000,0.9559,0.0059
120,0.8807,0.0278,0.8807,0.0278,0.8807,0.0278,0.6790,0.0810,0.9550,0.0669,0.3025,0.1308,0.2575,0.1228,1.0000,0.0000,0.9596,0.0055
130,0.8795,0.0293,0.8795,0.0293,0.8795,0.0293,0.6715,0.1003,0.9650,0.0450,0.2625,0.1023,0.2275,0.0993,1.0000,0.0000,0.9627,0.0050
140,0.8871,0.0323,0.8871,0.0323,0.8871,0.0323,0.6960,0.0998,0.9550,0.0522,0.2975,0.1374,0.2525,0.1355,1.0000,0.0000,0.9653,0.0047
150,0.8897,0.0303,0.8897,0.0303,0.8897,0.0303,0.6980,0.1075,0.9550,0.0545,0.3225,0.0993,0.2775,0.0798,1.0000,0.0000,0.9677,0.0043
160,0.8948,0.0359,0.8948,0.0359,0.8948,0.0359,0.7135,0.1125,0.9725,0.0432,0.3125,0.1254,0.2850,0.1236,1.0000,0.0000,0.9697,0.0041
170,0.8990,0.0311,0.8990,0.0311,0.8990,0.0311,0.7205,0.1097,0.9525,0.0370,0.3075,0.0855,0.2600,0.0943,1.0000,0.0000,0.9715,0.0039
180,0.9052,0.0308,0.9052,0.0308,0.9052,0.0308,0.7345,0.1006,0.9775,0.0460,0.2475,0.0873,0.2250,0.0887,1.0000,0.0000,0.9731,0.0036
190,0.8996,0.0359,0.8996,0.0359,0.8996,0.0359,0.7200,0.1238,0.9725,0.0370,0.2925,0.1363,0.2650,0.1388,1.0000,0.0000,0.9745,0.0034
200,0.9093,0.0346,0.9093,0.0346,0.9093,0.0346,0.7500,0.1187,0.9725,0.0402,0.3650,0.0838,0.3375,0.0804,1.0000,0.0000,0.9758,0.0033
210,0.9076,0.0326,0.9076,0.0326,0.9076,0.0326,0.7445,0.1118,0.9750,0.0403,0.3150,0.0838,0.2900,0.0784,1.0000,0.0000,0.9769,0.0031
220,0.9111,0.0293,0.9111,0.0293,0.9111,0.0293,0.7600,0.0871,0.9750,0.0296,0.2900,0.0970,0.2650,0.1038,1.0000,0.0000,0.9780,0.0030
230,0.9164,0.0266,0.9164,0.0266,0.9164,0.0266,0.7720,0.0866,0.9850,0.0229,0.3200,0.1089,0.3050,0.1128,1.0000,0.0000,0.9789,0.0028
240,0.9175,0.0261,0.9175,0.0261,0.9175,0.0261,0.7725,0.0853,0.9800,0.0292,0.3400,0.1158,0.3200,0.1089,1.0000,0.0000,0.9798,0.0027
250,0.9257,0.0242,0.9257,0.0242,0.9257,0.0242,0.7940,0.0782,0.9825,0.0286,0.3475,0.1054,0.3300,0.1065,1.0000,0.0000,0.9806,0.0026
260,0.9254,0.0288,0.9254,0.0288,0.9254,0.0288,0.7865,0.0893,0.9875,0.0268,0.3475,0.0915,0.3350,0.0910,1.0000,0.0000,0.9814,0.0025
270,0.9286,0.0251,0.9286,0.0251,0.9286,0.0251,0.7985,0.0777,0.9800,0.0245,0.3325,0.1064,0.3125,0.0998,1.0000,0.0000,0.9821,0.0024
280,0.9341,0.0201,0.9341,0.0201,0.9341,0.0201,0.8140,0.0650,0.9900,0.0200,0.2875,0.1213,0.2775,0.1209,1.0000,0.0000,0.9827,0.0023
290,0.9392,0.0184,0.9392,0.0184,0.9392,0.0184,0.8285,0.0610,0.9750,0.0371,0.3600,0.1200,0.3350,0.1184,1.0000,0.0000,0.9833,0.0022
300,0.9383,0.0190,0.9383,0.0190,0.9383,0.0190,0.8250,0.0659,0.9845,0.0103,0.3197,0.0539,0.3042,0.0517,1.0000,0.0000,0.9838,0.0022
