n_trained,parse_F1,parse_P,parse_R,parse_EM,gen_gram,gen_novel,gen_lex,gen_gram_novel,p_parse_legal,gen_n,prim_active_frac
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000
10,0.0000,0.0000,0.0000,0.0000,0.8500,0.2500,1.0000,0.1000,1.0000,20,0.5000
20,0.7539,0.7539,0.7539,0.3900,0.7500,0.3500,1.0000,0.1000,1.0000,20,0.7500
30,0.7950,0.7950,0.7950,0.4600,0.8000,0.2500,1.0000,0.0500,1.0000,20,0.8333
40,0.8028,0.8028,0.8028,0.5300,0.7500,0.3500,1.0000,0.1000,1.0000,20,0.8750
50,0.8155,0.8155,0.8155,0.5600,1.0000,0.0500,1.0000,0.0500,1.0000,20,0.9000
60,0.8265,0.8265,0.8265,0.6000,0.8500,0.3000,1.0000,0.1500,1.0000,20,0.9167
70,0.8580,0.8580,0.8580,0.6400,0.7500,0.5000,1.0000,0.2500,1.0000,20,0.9286
80,0.8691,0.8691,0.8691,0.6900,0.8000,0.4500,1.0000,0.2500,1.0000,20,0.9375
90,0.8754,0.8754,0.8754,0.6400,0.9000,0.3000,1.0000,0.2000,1.0000,20,0.9444
100,0.9132,0.9132,0.9132,0.7700,0.9000,0.6500,1.0000,0.5500,1.0000,20,0.9500
110,0.9164,0.9164,0.9164,0.7700,1.0000,0.2500,1.0000,0.2500,1.0000,20,0.9545
120,0.9101,0.9101,0.9101,0.7700,0.9500,0.4500,1.0000,0.4000,1.0000,20,0.9583
130,0.8896,0.8896,0.8896,0.7100,1.0000,0.1000,1.0000,0.1000,1.0000,20,0.9615
140,0.8943,0.8943,0.8943,0.7100,0.9000,0.2000,1.0000,0.1000,1.0000,20,0.9643
150,0.9054,0.9054,0.9054,0.7400,1.0000,0.3500,1.0000,0.3500,1.0000,20,0.9667
160,0.9054,0.9054,0.9054,0.7400,1.0000,0.5000,1.0000,0.5000,1.0000,20,0.9688
170,0.9085,0.9085,0.9085,0.7700,1.0000,0.4000,1.0000,0.4000,1.0000,20,0.9706
180,0.9180,0.9180,0.9180,0.7800,1.0000,0.2500,1.0000,0.2500,1.0000,20,0.9722
190,0.9274,0.9274,0.9274,0.8000,1.0000,0.4500,1.0000,0.4500,1.0000,20,0.9737
200,0.9290,0.9290,0.9290,0.8000,1.0000,0.3500,1.0000,0.3500,1.0000,20,0.9750
210,0.9180,0.9180,0.9180,0.7700,1.0000,0.2500,1.0000,0.2500,1.0000,20,0.9762
220,0.9148,0.9148,0.9148,0.7600,0.9500,0.4000,1.0000,0.3500,1.0000,20,0.9773
230,0.9259,0.9259,0.9259,0.7900,1.0000,0.4000,1.0000,0.4000,1.0000,20,0.9783
240,0.9259,0.9259,0.9259,0.7700,1.0000,0.1500,1.0000,0.1500,1.0000,20,0.9792
250,0.9274,0.9274,0.9274,0.7800,1.0000,0.5000,1.0000,0.5000,1.0000,20,0.9800
260,0.9306,0.9306,0.9306,0.7900,1.0000,0.3000,1.0000,0.3000,1.0000,20,0.9808
270,0.9353,0.9353,0.9353,0.8100,1.0000,0.3000,1.0000,0.3000,1.0000,20,0.9815
280,0.9432,0.9432,0.9432,0.8500,1.0000,0.1500,1.0000,0.1500,1.0000,20,0.9821
290,0.9448,0.9448,0.9448,0.8600,1.0000,0.2000,1.0000,0.2000,1.0000,20,0.9828
300,0.9495,0.9495,0.9495,0.8700,0.9960,0.2300,1.0000,0.2260,1.0000,500,0.9833
