n_trained,F1_mean,F1_std,P_mean,P_std,R_mean,R_std,EM_mean,EM_std,gen_gram_mean,gen_gram_std,gen_novel_mean,gen_novel_std,gen_gram_novel_mean,gen_gram_novel_std,p_parse_legal_mean,p_parse_legal_std,prim_active_mean,prim_active_std
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,0.6489,0.2257,0.6489,0.2257,0.6489,0.2257,0.2575,0.1356,0.7425,0.1638,0.3125,0.2061,0.0550,0.0789,1.0000,0.0000,0.5500,0.0592
20,0.7856,0.0485,0.7856,0.0485,0.7856,0.0485,0.4130,0.1046,0.8000,0.1557,0.3550,0.1739,0.1550,0.1213,1.0000,0.0000,0.7750,0.0296
30,0.8107,0.0557,0.8107,0.0557,0.8107,0.0557,0.4950,0.1092,0.8725,0.0915,0.3075,0.1434,0.1800,0.1030,1.0000,0.0000,0.8500,0.0197
40,0.8375,0.0556,0.8375,0.0556,0.8375,0.0556,0.5420,0.1419,0.8950,0.0879,0.2950,0.1516,0.1900,0.1200,1.0000,0.0000,0.8875,0.0148
50,0.8510,0.0482,0.8510,0.0482,0.8510,0.0482,0.5795,0.1187,0.9275,0.0698,0.3125,0.1850,0.2400,0.1546,1.0000,0.0000,0.9100,0.0118
60,0.8647,0.0434,0.8647,0.0434,0.8647,0.0434,0.6175,0.1163,0.9150,0.0937,0.3300,0.1778,0.2450,0.1431,1.0000,0.0000,0.9250,0.0098
70,0.8847,0.0300,0.8847,0.0300,0.8847,0.0300,0.6560,0.1026,0.9275,0.0715,0.3425,0.1381,0.2700,0.1259,1.0000,0.0000,0.9357,0.0085
80,0.8866,0.0322,0.8866,0.0322,0.8866,0.0322,0.6570,0.0986,0.9475,0.0698,0.3300,0.1470,0.2775,0.1279,1.0000,0.0000,0.9437,0.0074
90,0.8979,0.0297,0.8979,0.0297,0.8979,0.0297,0.6850,0.0814,0.9525,0.0460,0.3200,0.1239,0.2725,0.1156,1.0000,0.0000,0.9500,0.0066
100,0.9134,0.0327,0.9134,0.0327,0.9134,0.0327,0.7215,0.1059,0.9525,0.0487,0.3850,0.0867,0.3375,0.0864,1.0000,0.0000,0.9550,0.0059
110,0.9167,0.0337,0.9167,0.0337,0.9167,0.0337,0.7305,0.1197,0.9500,0.0474,0.3650,0.1333,0.3150,0.1195,1.0000,0.0000,0.9591,0.0054
120,0.9232,0.0458,0.9232,0.0458,0.9232,0.0458,0.7515,0.1589,0.9525,0.0487,0.3700,0.1100,0.3225,0.0901,1.0000,0.0000,0.9625,0.0050
130,0.9273,0.0333,0.9273,0.0333,0.9273,0.0333,0.7590,0.1126,0.9400,0.0700,0.3525,0.1318,0.2925,0.1076,1.0000,0.0000,0.9654,0.0046
140,0.9351,0.0363,0.9351,0.0363,0.9351,0.0363,0.8040,0.0986,0.9650,0.0572,0.3525,0.1270,0.3175,0.1238,1.0000,0.0000,0.9678,0.0042
150,0.9465,0.0311,0.9465,0.0311,0.9465,0.0311,0.8355,0.0856,0.9700,0.0430,0.3900,0.1471,0.3600,0.1480,1.0000,0.0000,0.9700,0.0039
160,0.9460,0.0313,0.9460,0.0313,0.9460,0.0313,0.8320,0.0868,0.9675,0.0657,0.3975,0.0829,0.3650,0.0838,1.0000,0.0000,0.9719,0.0037
170,0.9528,0.0231,0.9528,0.0231,0.9528,0.0231,0.8435,0.0690,0.9875,0.0268,0.3850,0.1038,0.3725,0.0981,1.0000,0.0000,0.9736,0.0035
180,0.9549,0.0267,0.9549,0.0267,0.9549,0.0267,0.8555,0.0830,0.9625,0.0349,0.3875,0.1234,0.3500,0.1025,1.0000,0.0000,0.9750,0.0033
190,0.9610,0.0233,0.9610,0.0233,0.9610,0.0233,0.8715,0.0709,0.9875,0.0268,0.4225,0.1250,0.4100,0.1200,1.0000,0.0000,0.9763,0.0031
200,0.9620,0.0209,0.9620,0.0209,0.9620,0.0209,0.8730,0.0606,0.9675,0.0455,0.4025,0.1156,0.3700,0.1111,1.0000,0.0000,0.9775,0.0030
210,0.9560,0.0383,0.9560,0.0383,0.9560,0.0383,0.8415,0.1503,0.9925,0.0179,0.3750,0.1146,0.3675,0.1087,1.0000,0.0000,0.9786,0.0028
220,0.9629,0.0239,0.9629,0.0239,0.9629,0.0239,0.8680,0.0893,0.9800,0.0332,0.3800,0.0812,0.3600,0.0831,1.0000,0.0000,0.9795,0.0027
