n_trained,parse_F1,parse_P,parse_R,parse_EM,gen_gram,gen_novel,gen_lex,gen_gram_novel,p_parse_legal,gen_n,prim_active_frac
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000
10,0.6747,0.6747,0.6747,0.2500,0.7000,0.3000,1.0000,0.0000,1.0000,20,0.5000
20,0.8048,0.8048,0.8048,0.4700,0.7000,0.5000,1.0000,0.2000,1.0000,20,0.7500
30,0.8502,0.8502,0.8502,0.6100,0.7000,0.4500,1.0000,0.1500,1.0000,20,0.8333
40,0.8487,0.8487,0.8487,0.5900,0.9000,0.2000,1.0000,0.1000,1.0000,20,0.8750
50,0.8880,0.8880,0.8880,0.6800,0.9500,0.0500,1.0000,0.0000,1.0000,20,0.9000
60,0.8790,0.8790,0.8790,0.7000,1.0000,0.1500,1.0000,0.1500,1.0000,20,0.9167
70,0.9153,0.9153,0.9153,0.7800,1.0000,0.0500,1.0000,0.0500,1.0000,20,0.9286
80,0.9198,0.9198,0.9198,0.8000,0.8000,0.4000,1.0000,0.2000,1.0000,20,0.9375
90,0.9213,0.9213,0.9213,0.7800,0.9500,0.1500,1.0000,0.1000,1.0000,20,0.9444
100,0.9334,0.9334,0.9334,0.7800,0.8500,0.3500,1.0000,0.2000,1.0000,20,0.9500
110,0.9289,0.9289,0.9289,0.7800,1.0000,0.5000,1.0000,0.5000,1.0000,20,0.9545
120,0.9516,0.9516,0.9516,0.8500,0.9500,0.4500,1.0000,0.4000,1.0000,20,0.9583
130,0.9622,0.9622,0.9622,0.8900,0.9000,0.2500,1.0000,0.1500,1.0000,20,0.9615
140,0.9652,0.9652,0.9652,0.9100,1.0000,0.2500,1.0000,0.2500,1.0000,20,0.9643
150,0.9425,0.9425,0.9425,0.8500,1.0000,0.2000,1.0000,0.2000,1.0000,20,0.9667
160,0.9516,0.9516,0.9516,0.8600,1.0000,0.2500,1.0000,0.2500,1.0000,20,0.9688
170,0.9622,0.9622,0.9622,0.8800,1.0000,0.3500,1.0000,0.3500,1.0000,20,0.9706
180,0.9637,0.9637,0.9637,0.9000,0.9500,0.5000,1.0000,0.4500,1.0000,20,0.9722
190,0.9818,0.9818,0.9818,0.8900,1.0000,0.2500,1.0000,0.2500,1.0000,20,0.9737
200,0.9849,0.9849,0.9849,0.9000,0.9500,0.3000,1.0000,0.2500,1.0000,20,0.9750
210,0.9834,0.9834,0.9834,0.9000,1.0000,0.4500,1.0000,0.4500,1.0000,20,0.9762
220,0.9834,0.9834,0.9834,0.9000,0.9500,0.3000,1.0000,0.2500,1.0000,20,0.9773
230,0.9849,0.9849,0.9849,0.9100,1.0000,0.3000,1.0000,0.3000,1.0000,20,0.9783
240,0.9924,0.9924,0.9924,0.9500,1.0000,0.2500,1.0000,0.2500,1.0000,20,0.9792
250,0.9955,0.9955,0.9955,0.9700,1.0000,0.2500,1.0000,0.2500,1.0000,20,0.9800
260,0.9728,0.9728,0.9728,0.8900,1.0000,0.2000,1.0000,0.2000,1.0000,20,0.9808
270,0.9728,0.9728,0.9728,0.8900,1.0000,0.4500,1.0000,0.4500,1.0000,20,0.9815
280,0.9697,0.9697,0.9697,0.8800,1.0000,0.5000,1.0000,0.5000,1.0000,20,0.9821
290,0.9728,0.9728,0.9728,0.8900,1.0000,0.5500,1.0000,0.5500,1.0000,20,0.9828
300,0.9697,0.9697,0.9697,0.8900,0.9940,0.5080,1.0000,0.5020,1.0000,500,0.9833
