n_trained,F1_mean,F1_std,P_mean,P_std,R_mean,R_std,EM_mean,EM_std,gen_gram_mean,gen_gram_std,gen_novel_mean,gen_novel_std,gen_gram_novel_mean,gen_gram_novel_std,p_parse_legal_mean,p_parse_legal_std,prim_active_mean,prim_active_std
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9650,0.1062,0.0350,0.1062,0.0000,0.0000,1.0000,0.0000,0.3000,0.0000
20,0.9424,0.0582,0.9424,0.0582,0.9424,0.0582,0.7960,0.1769,0.9850,0.0391,0.0650,0.0776,0.0500,0.0632,1.0000,0.0000,0.6500,0.0000
30,0.9875,0.0159,0.9875,0.0159,0.9875,0.0159,0.9510,0.0640,0.9600,0.0860,0.1075,0.1016,0.0675,0.0729,1.0000,0.0000,0.7667,0.0000
40,0.9970,0.0048,0.9970,0.0048,0.9970,0.0048,0.9880,0.0191,0.9900,0.0436,0.1475,0.1006,0.1375,0.0947,1.0000,0.0000,0.8250,0.0000
50,0.9994,0.0022,0.9994,0.0022,0.9994,0.0022,0.9975,0.0089,1.0000,0.0000,0.1625,0.0893,0.1625,0.0893,1.0000,0.0000,0.8600,0.0000
60,0.9971,0.0061,0.9971,0.0061,0.9971,0.0061,0.9905,0.0191,1.0000,0.0000,0.1875,0.0773,0.1875,0.0773,1.0000,0.0000,0.8833,0.0000
70,0.9984,0.0040,0.9984,0.0040,0.9984,0.0040,0.9940,0.0146,1.0000,0.0000,0.2575,0.0912,0.2575,0.0912,1.0000,0.0000,0.9000,0.0000
80,0.9985,0.0041,0.9985,0.0041,0.9985,0.0041,0.9955,0.0124,1.0000,0.0000,0.2525,0.0915,0.2525,0.0915,1.0000,0.0000,0.9125,0.0000
90,0.9977,0.0060,0.9977,0.0060,0.9977,0.0060,0.9935,0.0153,1.0000,0.0000,0.2425,0.0746,0.2425,0.0746,1.0000,0.0000,0.9222,0.0000
100,0.9988,0.0044,0.9988,0.0044,0.9988,0.0044,0.9970,0.0095,1.0000,0.0000,0.2150,0.1001,0.2150,0.1001,1.0000,0.0000,0.9300,0.0000
110,0.9990,0.0038,0.9990,0.0038,0.9990,0.0038,0.9975,0.0089,1.0000,0.0000,0.2125,0.0973,0.2125,0.0973,1.0000,0.0000,0.9364,0.0000
