n_trained,parse_F1,parse_P,parse_R,parse_EM,gen_gram,gen_novel,gen_lex,gen_gram_novel,p_parse_legal,gen_n,prim_active_frac
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000
10,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,20,0.3000
20,0.9725,0.9725,0.9725,0.8900,1.0000,0.2000,1.0000,0.2000,1.0000,20,0.6500
30,0.9975,0.9975,0.9975,0.9900,1.0000,0.3000,1.0000,0.3000,1.0000,20,0.7667
40,0.9975,0.9975,0.9975,0.9900,1.0000,0.3000,1.0000,0.3000,1.0000,20,0.8250
50,1.0000,1.0000,1.0000,1.0000,1.0000,0.2000,1.0000,0.2000,1.0000,20,0.8600
60,1.0000,1.0000,1.0000,1.0000,1.0000,0.2500,1.0000,0.2500,1.0000,20,0.8833
70,1.0000,1.0000,1.0000,1.0000,1.0000,0.3000,1.0000,0.3000,1.0000,20,0.9000
80,1.0000,1.0000,1.0000,1.0000,1.0000,0.3500,1.0000,0.3500,1.0000,20,0.9125
90,1.0000,1.0000,1.0000,1.0000,1.0000,0.3500,1.0000,0.3500,1.0000,20,0.9222
100,1.0000,1.0000,1.0000,1.0000,1.0000,0.1500,1.0000,0.1500,1.0000,20,0.9300
110,1.0000,1.0000,1.0000,1.0000,1.0000,0.2500,1.0000,0.2500,1.0000,20,0.9364
120,1.0000,1.0000,1.0000,1.0000,1.0000,0.3000,1.0000,0.3000,1.0000,20,0.9417
130,1.0000,1.0000,1.0000,1.0000,1.0000,0.1500,1.0000,0.1500,1.0000,20,0.9462
140,1.0000,1.0000,1.0000,1.0000,1.0000,0.4000,1.0000,0.4000,1.0000,20,0.9500
150,1.0000,1.0000,1.0000,1.0000,1.0000,0.1000,1.0000,0.1000,1.0000,20,0.9533
160,1.0000,1.0000,1.0000,1.0000,1.0000,0.2000,1.0000,0.2000,1.0000,20,0.9563
170,1.0000,1.0000,1.0000,1.0000,1.0000,0.1000,1.0000,0.1000,1.0000,20,0.9588
180,1.0000,1.0000,1.0000,1.0000,1.0000,0.3500,1.0000,0.3500,1.0000,20,0.9611
190,1.0000,1.0000,1.0000,1.0000,1.0000,0.1000,1.0000,0.1000,1.0000,20,0.9632
200,1.0000,1.0000,1.0000,1.0000,1.0000,0.1500,1.0000,0.1500,1.0000,20,0.9650
210,1.0000,1.0000,1.0000,1.0000,1.0000,0.3000,1.0000,0.3000,1.0000,20,0.9667
220,1.0000,1.0000,1.0000,1.0000,1.0000,0.1500,1.0000,0.1500,1.0000,20,0.9682
230,1.0000,1.0000,1.0000,1.0000,1.0000,0.3000,1.0000,0.3000,1.0000,20,0.9696
240,1.0000,1.0000,1.0000,1.0000,1.0000,0.1500,1.0000,0.1500,1.0000,20,0.9708
250,1.0000,1.0000,1.0000,1.0000,1.0000,0.1000,1.0000,0.1000,1.0000,20,0.9720
260,1.0000,1.0000,1.0000,1.0000,1.0000,0.4000,1.0000,0.4000,1.0000,20,0.9731
270,1.0000,1.0000,1.0000,1.0000,1.0000,0.2500,1.0000,0.2500,1.0000,20,0.9741
280,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,0.0000,1.0000,20,0.9750
290,1.0000,1.0000,1.0000,1.0000,1.0000,0.3000,1.0000,0.3000,1.0000,20,0.9759
300,1.0000,1.0000,1.0000,1.0000,1.0000,0.1900,1.0000,0.1900,1.0000,500,0.9767
