is_gold,cnt_root_lp,sum_root_lp,sum_leaf_lp,sum_bl_lp,cur_score,chunk_pool_match,L_trans,R_trans
0,-52.92802522678417,-55.8905221004419,-102.20542806335453,-50.95896415178567,-83.58965364579053,0,0,0
0,-58.93160542262371,-63.32208334158969,-77.83049907243065,-61.38956310031326,-78.81501924155319,0,1,0
1,-53.52936225790093,-58.76249509003341,-50.48863499037898,-56.44212817316023,-65.2102168522149,0,1,0
0,-51.92601323315232,-57.63078677470658,-111.621983171509,-52.16684166622597,-85.41260818460502,0,0,0
0,-68.51487398977437,-74.14575998559853,-73.17078366632066,-65.65968038256351,-90.46610908967057,0,0,0
0,-72.854881575497,-78.65275121646042,-96.54093487557307,-99.34254398770875,-101.81716203816893,0,0,0
0,-59.6803816091034,-64.27081035152457,-61.999172871871544,-67.55396898743116,-74.81439756786514,0,1,0
1,-49.00660481563709,-51.95060809332575,-27.25898854475766,-46.64921401551207,-57.18430137906439,0,0,0
0,-52.92802522678417,-55.8905221004419,-102.20542806335453,-50.73803644782069,-83.58965364579053,0,0,0
1,-48.35460912176963,-52.415825616591505,-45.682364151287864,-51.357296455182656,-56.56625692381544,0,2,0
0,-51.23050426340314,-56.43941716428396,-58.25355176391931,-53.300061281167544,-65.24083388977921,0,0,1
0,-68.51487398977437,-74.14575998559853,-73.17078366632066,-65.65968038256351,-90.46610908967057,0,0,0
0,-72.854881575497,-78.65275121646042,-96.54093487557307,-99.34254398770875,-101.81716203816893,0,0,0
0,-59.6803816091034,-64.27081035152457,-61.999172871871544,-67.55396898743116,-74.81439756786514,0,1,0
1,-49.00660481563709,-51.95060809332575,-27.25898854475766,-46.64921401551207,-57.18430137906439,0,0,0
0,-50.89763368401246,-53.73712964062676,-81.62135248036623,-46.85757378853385,-75.38403942812232,0,0,0
1,-51.19552408024977,-55.23252064381999,-55.784266860487584,-54.33555477532584,-67.93080413839604,0,0,0
0,-68.51487398977437,-74.14575998559853,-73.17078366632066,-65.65968038256351,-90.46610908967057,0,0,0
0,-72.854881575497,-78.65275121646042,-96.54093487557307,-99.34254398770875,-101.81716203816893,0,0,0
0,-59.6803816091034,-64.27081035152457,-61.999172871871544,-67.49997375118606,-74.81439756786514,0,1,0
1,-49.00660481563709,-51.95060809332575,-27.25898854475766,-44.070789304524226,-57.18430137906439,0,0,0
1,-51.06934754195635,-53.88462356731899,-54.89021179745246,-53.55000851769665,-64.07067517839236,0,1,0
0,-68.77772751723845,-72.65034721678806,-57.429592547418224,-49.86519697788441,-86.00660528146392,0,0,0
0,-72.854881575497,-78.65275121646042,-96.54093487557307,-99.34254398770875,-101.81716203816893,0,0,0
0,-59.6803816091034,-64.27081035152457,-61.999172871871544,-67.49997375118606,-74.81439756786514,0,1,0
1,-49.00660481563709,-51.95060809332575,-27.25898854475766,-46.64921401551207,-57.18430137906439,0,0,0
1,-72.1099251396842,-74.76082430102623,-46.57123372217994,-50.50882960997312,-86.08129525633818,0,0,0
0,-72.854881575497,-78.65275121646042,-96.54093487557307,-99.34254398770875,-101.81716203816893,0,0,0
0,-59.6803816091034,-64.27081035152457,-61.999172871871544,-67.49997375118606,-74.81439756786514,0,1,0
1,-49.00660481563709,-51.95060809332575,-27.25898854475766,-46.64921401551207,-57.18430137906439,0,0,0
1,-72.1099251396842,-74.76082430102623,-46.57123372217994,-51.57863972026164,-86.08129525633818,0,0,0
0,-72.854881575497,-78.65275121646042,-96.54093487557307,-99.34254398770875,-101.81716203816893,0,0,0
1,-59.65616671176938,-62.67655805836089,-37.36089125395738,-49.40872970839196,-60.46722637955742,1,1,1
1,-72.1099251396842,-74.76082430102623,-46.57123372217994,-51.57863972026164,-86.08129525633818,0,0,0
0,-65.02029077804765,-68.35808685632676,-101.8339739996102,-76.53493917626838,-95.57048297793071,0,0,0
1,-60.73133306506061,-60.73133306506061,-54.88256013820034,-50.09360150905694,-77.19610110652071,0,0,0
0,-56.791657919275075,-59.91514410828731,-100.94241375863302,-53.66860416565475,-87.07438204686498,0,0,0
1,-52.808842581459416,-56.874949898430636,-77.77074705898688,-51.464200774729804,-76.14006669915548,0,0,0
0,-53.12101675027116,-58.41844960213292,-100.79953354989753,-57.248248329183994,-79.8951409124407,0,0,1
0,-69.07210795039546,-74.71172413478585,-60.593108992710164,-67.43383597304555,-83.78430474540879,0,0,1
0,-65.13964064511046,-71.34241354677887,-95.4787590726222,-92.21241497569596,-93.78326836689712,0,0,0
0,-53.032728269967436,-58.97862960594154,-79.36046339745553,-63.57466037051632,-76.8408672892041,0,0,0
0,-60.05982500470576,-65.71180242072556,-81.48728837247523,-59.5561996188672,-84.50601151644832,0,0,0
1,-54.728727127456494,-58.96596072462809,-46.57392439226502,-50.82231308232986,-68.700904445136,0,0,0
0,-48.901976811300294,-52.00322715863953,-94.57964509640647,-48.774573682745846,-77.27587034022224,0,0,0
0,-46.94148551654846,-49.78113292632974,-82.02680092250259,-49.144093182474556,-71.54952579329924,0,0,0
1,-52.967664743591286,-57.09889590020735,-46.57382646825147,-51.813689080176395,-63.474076781266994,0,0,1
0,-69.07210795039546,-74.71172413478585,-60.593108992710164,-67.43383597304555,-83.78430474540879,0,0,1
0,-65.13964064511046,-71.34241354677887,-95.4787590726222,-92.21241497569596,-93.78326836689712,0,0,0
0,-53.032728269967436,-58.97862960594154,-79.36046339745553,-62.92546829743558,-76.8408672892041,0,0,0
0,-60.05982500470576,-65.71180242072556,-81.48728837247523,-59.56157898417445,-84.50601151644832,0,0,0
1,-54.728727127456494,-58.96596072462809,-46.57392439226502,-50.82231308232986,-68.700904445136,0,0,0
0,-48.901976811300294,-52.00322715863953,-94.57964509640647,-49.32582918547794,-77.27587034022224,0,0,0
1,-44.51541543324368,-47.42018668266981,-37.360793329943824,-38.30202054390969,-52.2579175294271,0,1,0
0,-61.14577195644985,-65.21456294016065,-94.27135411636269,-61.28007965496759,-89.42717819135865,0,0,0
0,-65.13964064511046,-71.34241354677887,-95.4787590726222,-92.21241497569596,-93.78326836689712,0,0,0
0,-53.032728269967436,-58.97862960594154,-79.36046339745553,-62.92546829743558,-76.8408672892041,0,0,0
0,-60.05982500470576,-65.71180242072556,-81.48728837247523,-59.485315081437214,-84.50601151644832,0,0,0
1,-54.728727127456494,-58.96596072462809,-46.57392439226502,-50.82231308232986,-68.700904445136,0,0,0
0,-48.901976811300294,-52.00322715863953,-94.57964509640647,-49.32582918547794,-77.27587034022224,0,0,0
1,-68.29080117591201,-71.13313225243286,-66.05676367872098,-48.77445503411648,-88.1078302795283,0,0,0
0,-65.13964064511046,-71.34241354677887,-95.4787590726222,-92.21241497569596,-93.78326836689712,0,0,0
0,-53.032728269967436,-58.97862960594154,-79.36046339745553,-62.92546829743558,-76.8408672892041,0,0,0
0,-60.05982500470576,-65.71180242072556,-81.48728837247523,-59.485315081437214,-84.50601151644832,0,0,0
1,-54.728727127456494,-58.96596072462809,-46.57392439226502,-50.82231308232986,-68.700904445136,0,0,0
0,-48.901976811300294,-52.00322715863953,-94.57964509640647,-49.32582918547794,-77.27587034022224,0,0,0
1,-68.29080117591201,-71.13313225243286,-66.05676367872098,-47.295166045285896,-88.1078302795283,0,0,0
0,-65.13964064511046,-71.34241354677887,-95.4787590726222,-92.21241497569596,-93.78326836689712,0,0,0
0,-53.032728269967436,-58.97862960594154,-79.36046339745553,-62.92546829743558,-76.8408672892041,0,0,0
0,-47.66012526764261,-52.27511041792158,-76.16135705800578,-50.092732234883854,-70.50853238504435,0,0,0
1,-49.53094004918401,-52.19813625052595,-37.36089125395738,-49.7782527835182,-60.73920742537122,0,0,0
1,-68.29080117591201,-71.13313225243286,-66.05676367872098,-48.194870865203306,-88.1078302795283,0,0,0
0,-65.13964064511046,-71.34241354677887,-95.4787590726222,-92.21241497569596,-93.78326836689712,0,0,0
0,-53.032728269967436,-58.97862960594154,-79.36046339745553,-62.82915936885588,-76.8408672892041,0,0,0
1,-47.50443971977171,-50.54938747422102,-48.527443135225916,-44.359833930231666,-62.06267266033949,0,0,0
1,-68.29080117591201,-71.13313225243286,-66.05676367872098,-47.295166045285896,-88.1078302795283,0,0,0
0,-65.13964064511046,-71.34241354677887,-95.4787590726222,-92.21241497569596,-93.78326836689712,0,0,0
1,-54.499496639930896,-57.45418345031261,-45.679869329229895,-46.340924449635864,-64.73772153590015,0,1,0
1,-68.29080117591201,-71.13313225243286,-66.05676367872098,-47.295166045285896,-88.1078302795283,0,0,0
0,-65.69743414228085,-68.88363348033592,-83.41309321513795,-63.96278853750401,-87.25562620402252,0,0,1
1,-67.36096798686076,-67.36096798686076,-54.88256013820034,-50.41416250774052,-83.82573602832086,0,0,0
1,-46.97464759702694,-49.769681420937,-28.150352937707712,-44.04399378909405,-51.954017575539524,0,1,0
0,-60.671025527215264,-64.43084810379602,-70.31557965401258,-58.34917304754672,-81.76569942341904,0,0,0
0,-61.706735708935284,-66.11156912386532,-76.91264913484135,-65.70385275811213,-84.78053044938768,0,0,0
1,-48.64865860196196,-51.7071612299294,-28.150450861721268,-46.60510918611061,-57.09379386047834,0,0,0
1,-66.13478111759632,-68.61281104019295,-54.88773842833455,-48.19270908257891,-72.2038949376975,1,1,1
0,-61.706735708935284,-66.11156912386532,-76.91264913484135,-65.70385275811213,-84.78053044938768,0,0,0
1,-48.64865860196196,-51.7071612299294,-28.150450861721268,-44.07704010356009,-57.09379386047834,0,0,0
1,-66.13478111759632,-68.61281104019295,-54.88773842833455,-48.19270908257891,-72.2038949376975,1,1,1
0,-61.364740808820756,-64.22081660925065,-64.09817882057067,-47.926384194302365,-80.59419445499195,0,0,0
1,-61.039263201361344,-61.039263201361344,-36.46167935372811,-40.54789664442037,-71.97776700747977,0,0,0
0,-58.292896625970656,-61.46679161589528,-101.83387607559663,-55.95561662661793,-88.84305944864964,0,0,0
1,-52.808842581459416,-56.90830887165859,-74.5766996327177,-51.46733075631417,-75.18185247127472,0,0,0
0,-52.67708544920052,-57.84232777419463,-110.00997394213367,-70.32563261791131,-85.68007763184062,0,0,0
0,-69.40760201939405,-74.70797265366774,-88.74161727567898,-71.26256657826175,-92.56435129929802,0,0,1
0,-65.62557491461699,-70.51154871783187,-77.80668274493641,-80.67006437649493,-88.96757973809791,0,0,0
1,-47.49503998936504,-50.53470765008433,-39.31700274298979,-43.878689315122,-55.82440490946225,0,1,0
0,-49.41689137679256,-52.29463712878416,-82.5215329741608,-51.755237196940925,-74.17335126904081,0,0,0
