n_trained,F1_mean,F1_std,P_mean,P_std,R_mean,R_std,EM_mean,EM_std,gen_gram_mean,gen_gram_std,gen_novel_mean,gen_novel_std,gen_gram_novel_mean,gen_gram_novel_std,p_parse_legal_mean,p_parse_legal_std,prim_active_mean,prim_active_std
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7360,0.1670,0.4440,0.1982,0.1800,0.2650,0.0000,0.0000,0.8400,0.1020
20,0.5458,0.1098,0.6725,0.0734,0.4684,0.1345,0.0650,0.1238,0.9320,0.0204,0.1040,0.0543,0.0360,0.0388,0.1440,0.2398,0.9200,0.0510
30,0.7512,0.0334,0.7657,0.0189,0.7383,0.0494,0.3025,0.1503,0.8880,0.0676,0.2280,0.0993,0.1160,0.0871,0.6400,0.3134,0.9467,0.0340
40,0.7443,0.0527,0.7581,0.0401,0.7321,0.0666,0.3250,0.1808,0.9400,0.0537,0.1840,0.0344,0.1240,0.0408,0.6360,0.2600,0.9600,0.0255
50,0.8123,0.0287,0.8150,0.0304,0.8097,0.0275,0.4500,0.0848,0.9360,0.0196,0.2920,0.1603,0.2280,0.1440,0.7920,0.0515,0.9680,0.0204
60,0.8236,0.0466,0.8258,0.0478,0.8214,0.0457,0.4975,0.1444,0.9440,0.0686,0.2960,0.0585,0.2400,0.0657,0.7600,0.0473,0.9733,0.0170
70,0.8126,0.0558,0.8147,0.0559,0.8105,0.0558,0.5000,0.1115,0.8960,0.1183,0.3120,0.1831,0.2080,0.0744,0.7640,0.0662,0.9771,0.0146
80,0.8495,0.0418,0.8519,0.0428,0.8470,0.0409,0.5575,0.1094,0.8960,0.0731,0.3560,0.0427,0.2520,0.0665,0.7080,0.0755,0.9800,0.0127
90,0.8586,0.0384,0.8612,0.0390,0.8560,0.0382,0.5650,0.1350,0.9400,0.0551,0.3920,0.1217,0.3320,0.0985,0.7640,0.0697,0.9822,0.0113
100,0.8674,0.0249,0.8701,0.0257,0.8649,0.0246,0.5775,0.0849,0.9520,0.0863,0.3720,0.1395,0.3240,0.0709,0.8160,0.0408,0.9840,0.0102
110,0.8784,0.0249,0.8811,0.0261,0.8758,0.0243,0.5900,0.0923,0.9280,0.0349,0.3840,0.1038,0.3120,0.1230,0.8280,0.0240,0.9854,0.0093
120,0.8694,0.0205,0.8713,0.0200,0.8675,0.0214,0.5750,0.0754,0.9600,0.0335,0.3800,0.1296,0.3400,0.0988,0.8080,0.0627,0.9867,0.0085
130,0.8403,0.0690,0.8423,0.0698,0.8384,0.0683,0.5200,0.1556,0.9720,0.0204,0.3520,0.1170,0.3240,0.1155,0.7400,0.0400,0.9877,0.0079
140,0.8649,0.0286,0.8670,0.0278,0.8628,0.0295,0.5700,0.1317,0.9520,0.0765,0.4040,0.1127,0.3560,0.0686,0.7760,0.0265,0.9886,0.0073
150,0.8698,0.0473,0.8719,0.0468,0.8677,0.0479,0.5950,0.1693,0.9480,0.0299,0.4680,0.1542,0.4160,0.1483,0.7400,0.0473,0.9893,0.0068
160,0.8695,0.0522,0.8716,0.0517,0.8674,0.0528,0.5875,0.1362,0.9560,0.0408,0.4320,0.1114,0.3880,0.0926,0.7440,0.0496,0.9900,0.0064
170,0.8655,0.0469,0.8676,0.0466,0.8634,0.0474,0.5750,0.1186,0.9560,0.0512,0.5200,0.1403,0.4760,0.1261,0.7800,0.0607,0.9906,0.0060
180,0.8473,0.0334,0.8495,0.0360,0.8452,0.0309,0.5200,0.0924,0.9520,0.0412,0.4520,0.0900,0.4040,0.0843,0.7920,0.0546,0.9911,0.0057
190,0.8582,0.0311,0.8604,0.0326,0.8561,0.0299,0.5700,0.0605,0.9560,0.0496,0.4680,0.1537,0.4240,0.1371,0.7640,0.0427,0.9916,0.0054
200,0.8705,0.0396,0.8726,0.0396,0.8684,0.0398,0.6025,0.1248,0.9520,0.0271,0.4680,0.0917,0.4200,0.0810,0.7880,0.0466,0.9920,0.0051
210,0.8793,0.0239,0.8811,0.0222,0.8776,0.0257,0.5975,0.0899,0.9480,0.0271,0.5800,0.1442,0.5280,0.1336,0.7640,0.0294,0.9924,0.0049
220,0.8817,0.0273,0.8836,0.0268,0.8799,0.0281,0.6225,0.0913,0.9480,0.0349,0.5480,0.1230,0.4960,0.1242,0.7240,0.0463,0.9927,0.0046
