n_trained,parse_F1,parse_P,parse_R,parse_EM,gen_gram,gen_novel,gen_lex,gen_gram_novel,p_parse_legal,gen_n,prim_active_frac
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000
10,0.0000,0.0000,0.0000,0.0000,0.8200,0.1800,1.0000,0.0000,0.0000,50,0.7000
20,0.7335,0.7683,0.7016,0.3125,0.9600,0.0400,1.0000,0.0000,0.6200,50,0.8500
30,0.7939,0.7939,0.7939,0.4125,0.8600,0.1600,1.0000,0.0200,0.7200,50,0.9000
40,0.7269,0.7269,0.7269,0.3000,0.9400,0.1800,1.0000,0.1200,0.8200,50,0.9250
50,0.7631,0.7631,0.7631,0.3625,0.9400,0.4200,1.0000,0.3600,0.7800,50,0.9400
60,0.7541,0.7541,0.7541,0.3000,1.0000,0.3000,1.0000,0.3000,0.7400,50,0.9500
70,0.7306,0.7306,0.7306,0.3250,0.8600,0.4200,1.0000,0.2800,0.7000,50,0.9571
80,0.7776,0.7776,0.7776,0.3750,0.8600,0.3800,1.0000,0.2400,0.7600,50,0.9625
90,0.8011,0.8011,0.8011,0.3375,0.9400,0.4800,1.0000,0.4200,0.6800,50,0.9667
100,0.8626,0.8626,0.8626,0.5500,1.0000,0.3800,1.0000,0.3800,0.8600,50,0.9700
110,0.8553,0.8553,0.8553,0.4875,0.9800,0.4200,1.0000,0.4000,0.8400,50,0.9727
120,0.8409,0.8409,0.8409,0.4500,0.9600,0.4600,1.0000,0.4200,0.8800,50,0.9750
130,0.8825,0.8825,0.8825,0.4875,1.0000,0.4600,1.0000,0.4600,0.6800,50,0.9769
140,0.8463,0.8463,0.8463,0.4625,0.9800,0.4800,1.0000,0.4600,0.7800,50,0.9786
150,0.8047,0.8047,0.8047,0.3875,0.9400,0.6600,1.0000,0.6000,0.6800,50,0.9800
160,0.8047,0.8047,0.8047,0.3875,0.9600,0.5600,1.0000,0.5200,0.7200,50,0.9812
170,0.8336,0.8336,0.8336,0.5125,0.9600,0.7600,1.0000,0.7200,0.7600,50,0.9824
180,0.8264,0.8264,0.8264,0.4750,0.9800,0.5800,1.0000,0.5600,0.8000,50,0.9833
190,0.8101,0.8101,0.8101,0.4750,0.9800,0.6600,1.0000,0.6400,0.7400,50,0.9842
200,0.8788,0.8788,0.8788,0.6375,0.9400,0.6400,1.0000,0.5800,0.7600,50,0.9850
210,0.8662,0.8662,0.8662,0.5375,0.9400,0.7600,1.0000,0.7000,0.7400,50,0.9857
220,0.8698,0.8698,0.8698,0.5750,0.9200,0.7000,1.0000,0.6200,0.8000,50,0.9864
230,0.8662,0.8662,0.8662,0.5750,0.9800,0.6000,1.0000,0.5800,0.8000,50,0.9870
240,0.8282,0.8282,0.8282,0.4500,0.9800,0.6800,1.0000,0.6600,0.6400,50,0.9875
250,0.7722,0.7722,0.7722,0.3875,0.9800,0.5600,1.0000,0.5400,0.7600,50,0.9880
260,0.8029,0.8029,0.8029,0.4250,0.9800,0.8400,1.0000,0.8200,0.7400,50,0.9885
270,0.8101,0.8101,0.8101,0.4125,0.9800,0.9000,1.0000,0.8800,0.7600,50,0.9889
280,0.8264,0.8264,0.8264,0.4875,0.9600,0.7800,1.0000,0.7400,0.7800,50,0.9893
290,0.7577,0.7577,0.7577,0.3625,0.9400,0.7000,1.0000,0.6400,0.7400,50,0.9897
300,0.8047,0.8047,0.8047,0.2250,0.9800,0.6000,1.0000,0.5800,0.7200,50,0.9900
310,0.7541,0.7541,0.7541,0.2625,1.0000,0.7800,1.0000,0.7800,0.8200,50,0.9903
320,0.7143,0.7143,0.7143,0.1625,1.0000,0.7600,1.0000,0.7600,0.8000,50,0.9906
