n_trained,parse_F1,parse_P,parse_R,parse_EM,gen_gram,gen_novel,gen_lex,gen_n
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
10,0.0000,0.0000,0.0000,0.0000,1.0000,0.0667,1.0000,30
20,0.9062,0.9079,0.9045,0.6875,1.0000,0.0667,1.0000,30
30,0.9345,0.9345,0.9345,0.7625,1.0000,0.0667,1.0000,30
40,0.9307,0.9307,0.9307,0.7750,1.0000,0.2333,1.0000,30
50,0.9419,0.9419,0.9419,0.8000,0.9333,0.2667,1.0000,30
60,0.9251,0.9251,0.9251,0.7250,1.0000,0.3000,1.0000,30
70,0.9361,0.9396,0.9326,0.7750,1.0000,0.2667,1.0000,30
80,0.8968,0.8985,0.8951,0.6375,0.9667,0.3333,1.0000,30
90,0.9345,0.9345,0.9345,0.7750,1.0000,0.1667,1.0000,30
100,0.9176,0.9176,0.9176,0.7125,0.9667,0.3333,1.0000,30
110,0.9381,0.9398,0.9363,0.7875,1.0000,0.3333,1.0000,30
120,0.9268,0.9286,0.9251,0.7750,1.0000,0.3667,1.0000,30
130,0.9139,0.9139,0.9139,0.7125,1.0000,0.2667,1.0000,30
140,0.9176,0.9176,0.9176,0.7375,1.0000,0.2667,1.0000,30
150,0.8951,0.8951,0.8951,0.6875,1.0000,0.5000,1.0000,30
160,0.9026,0.9026,0.9026,0.7125,1.0000,0.3667,1.0000,30
170,0.7416,0.7416,0.7416,0.2750,1.0000,0.4000,1.0000,30
180,0.9045,0.9045,0.9045,0.6375,1.0000,0.3333,1.0000,30
190,0.8970,0.8970,0.8970,0.6250,1.0000,0.3667,1.0000,30
200,0.8708,0.8708,0.8708,0.5375,1.0000,0.4000,1.0000,30
210,0.8858,0.8858,0.8858,0.6000,1.0000,0.5000,1.0000,30
220,0.9139,0.9139,0.9139,0.6875,1.0000,0.4667,1.0000,30
230,0.9213,0.9213,0.9213,0.7375,1.0000,0.3333,1.0000,30
240,0.8858,0.8858,0.8858,0.6000,1.0000,0.4333,1.0000,30
250,0.9064,0.9064,0.9064,0.6750,1.0000,0.4667,1.0000,30
260,0.9176,0.9176,0.9176,0.7500,1.0000,0.5000,1.0000,30
270,0.8090,0.8090,0.8090,0.4125,1.0000,0.4000,1.0000,30
280,0.8727,0.8727,0.8727,0.5250,1.0000,0.4000,1.0000,30
290,0.9082,0.9082,0.9082,0.6500,1.0000,0.4000,1.0000,30
300,0.9139,0.9139,0.9139,0.7000,1.0000,0.5333,1.0000,30
310,0.9270,0.9270,0.9270,0.7375,1.0000,0.3000,1.0000,30
320,0.9026,0.9026,0.9026,0.6500,1.0000,0.4667,1.0000,30
