is_gold,cnt_root_lp,sum_root_lp,sum_leaf_lp,sum_bl_lp,cur_score,chunk_pool_match,L_trans,R_trans
1,-44.11824218891607,-45.54517827847336,-45.67321469962317,-39.98454466210294,-57.820206598803026,0,0,0
0,-48.83206626464835,-49.712470181356785,-99.54966268441805,-54.40884072148452,-78.69696506997376,0,0,0
1,-49.56001582622802,-49.56001582622802,-36.4604800390803,-38.908972872400135,-57.03242393515238,0,0,1
0,-54.40614708850696,-57.56935588865656,-111.12549890697872,-50.23931617766451,-87.74379676060057,0,0,0
1,-54.50412513775422,-58.0712165308595,-63.40785843188077,-52.45500622843179,-70.06074676451873,0,1,0
0,-49.88031605516176,-54.46789265855212,-107.1598138456449,-53.83758164083399,-82.02826020885523,0,0,0
0,-52.79157569574065,-58.29725792861458,-76.47955832801546,-62.12455707527174,-75.73544319414529,0,0,0
0,-60.580404722435816,-67.14056098521877,-75.93654578567745,-52.8570719539369,-83.36136845813905,0,0,0
1,-44.89564769125427,-51.090342353722654,-42.51572338084366,-47.25669797733274,-47.253156997108185,1,1,1
0,-50.00877771229357,-54.45073813322582,-68.3618426329736,-59.22570210293809,-70.51733050218566,0,0,0
0,-60.67644773453037,-65.31899048634594,-80.4175682580674,-51.27509238755649,-84.80171821195059,0,0,0
1,-44.3673988004231,-47.87445622125889,-40.69556247564175,-40.59010188492252,-53.1103316403159,0,1,0
0,-56.92938442081243,-59.662487355735614,-122.20887750729767,-66.31674742562306,-93.59204767300173,0,0,0
1,-50.1978162707341,-53.54160766483962,-36.46963443948334,-52.81455204705392,-57.67297069977938,0,0,1
0,-52.79157569574065,-58.29725792861458,-76.47955832801546,-62.12455707527174,-75.73544319414529,0,0,0
0,-60.580404722435816,-67.14056098521877,-75.93654578567745,-52.8570719539369,-83.36136845813905,0,0,0
1,-44.89564769125427,-51.090342353722654,-42.51572338084366,-47.25669797733274,-47.253156997108185,1,1,1
0,-50.00877771229357,-54.45073813322582,-68.3618426329736,-58.47353810649436,-70.51733050218566,0,0,0
0,-60.67644773453037,-65.31899048634594,-80.4175682580674,-51.27509238755649,-84.80171821195059,0,0,0
1,-44.3673988004231,-47.87445622125889,-40.69556247564175,-40.59010188492252,-53.1103316403159,0,1,0
1,-48.41403189581835,-50.923834831741765,-30.104473584936493,-36.6899560265486,-51.952312527958746,0,2,0
0,-54.51727812878686,-58.21478896926205,-60.9039821807108,-59.24623353636913,-65.85700097740065,0,0,3
0,-60.580404722435816,-67.14056098521877,-75.93654578567745,-52.8570719539369,-83.36136845813905,0,0,0
1,-44.89564769125427,-51.090342353722654,-42.51572338084366,-47.25669797733274,-47.253156997108185,1,1,1
0,-50.00877771229357,-54.45073813322582,-68.3618426329736,-58.47353810649436,-70.51733050218566,0,0,0
0,-60.67644773453037,-65.31899048634594,-80.4175682580674,-51.27509238755649,-84.80171821195059,0,0,0
1,-44.3673988004231,-47.87445622125889,-40.69556247564175,-40.59010188492252,-53.1103316403159,0,1,0
1,-54.49939420055379,-57.36291658284688,-37.35880248814019,-37.13537919021302,-62.24129904419612,0,0,1
0,-60.580404722435816,-67.14056098521877,-75.93654578567745,-52.8570719539369,-83.36136845813905,0,0,0
1,-44.89564769125427,-51.090342353722654,-42.51572338084366,-47.25669797733274,-47.253156997108185,1,1,1
0,-50.00877771229357,-54.45073813322582,-68.3618426329736,-58.47353810649436,-70.51733050218566,0,0,0
0,-60.67644773453037,-65.31899048634594,-80.4175682580674,-51.27509238755649,-84.80171821195059,0,0,0
1,-44.3673988004231,-47.87445622125889,-40.69556247564175,-40.59010188492252,-53.1103316403159,0,1,0
1,-54.49939420055379,-57.36291658284688,-37.35880248814019,-38.19243381453261,-62.24129904419612,0,0,1
0,-52.45518319441091,-58.795030766004096,-87.87482815771332,-66.51634467878091,-78.8176316417249,0,0,0
0,-50.3079349253444,-55.63216603873939,-71.20941643896964,-50.50198257579302,-71.67075985703529,0,0,0
0,-60.67644773453037,-65.31899048634594,-80.4175682580674,-51.27509238755649,-84.80171821195059,0,0,0
1,-44.3673988004231,-47.87445622125889,-40.69556247564175,-40.59010188492252,-53.1103316403159,0,1,0
1,-54.49939420055379,-57.36291658284688,-37.35880248814019,-38.19243381453261,-62.24129904419612,0,0,1
0,-52.45518319441091,-58.795030766004096,-87.87482815771332,-66.51634467878091,-78.8176316417249,0,0,0
0,-50.3079349253444,-55.63216603873939,-71.20941643896964,-50.50198257579302,-71.67075985703529,0,0,0
1,-51.19450319589849,-54.30917702224339,-39.112802519606035,-40.454847452938154,-59.46260804898057,0,1,0
1,-54.49939420055379,-57.36291658284688,-37.35880248814019,-38.19243381453261,-62.24129904419612,0,0,1
0,-52.45518319441091,-58.795030766004096,-87.87482815771332,-64.92754908046189,-78.8176316417249,0,0,0
0,-50.89844432096062,-54.02033323137719,-76.15657739142267,-55.84026430020244,-73.74541753838741,0,0,0
1,-51.46935756208259,-54.54216331413441,-64.99012366484854,-39.79735702553721,-67.50065875873743,0,1,0
0,-50.89844432096062,-54.02033323137719,-76.15657739142267,-55.84026430020244,-73.74541753838741,0,0,0
1,-52.85532883140717,-52.85532883140717,-73.30224160802477,-42.738991255936654,-74.8460013138146,0,0,0
1,-44.86440014051297,-47.34770489359687,-35.77424298686567,-42.087229947625424,-52.13093713377294,0,1,0
0,-50.1501125859843,-53.73406577972403,-61.4004650595321,-52.66611668065024,-63.077190660503376,0,0,2
0,-60.67644773453037,-66.12764170898905,-79.52849266893655,-52.41213135009943,-84.53499553521134,0,0,0
