n_trained,F1_mean,F1_std,P_mean,P_std,R_mean,R_std,EM_mean,EM_std,gen_gram_mean,gen_gram_std,gen_novel_mean,gen_novel_std,gen_gram_novel_mean,gen_gram_novel_std,p_parse_legal_mean,p_parse_legal_std,prim_active_mean,prim_active_std
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8160,0.1656,0.2360,0.1433,0.0520,0.0943,0.0000,0.0000,0.8600,0.0800
20,0.3005,0.1705,0.3794,0.2158,0.2496,0.1423,0.0000,0.0000,0.9600,0.0620,0.1120,0.0325,0.0720,0.0483,0.0000,0.0000,0.9300,0.0400
30,0.5344,0.1424,0.5875,0.1300,0.4934,0.1480,0.2000,0.1151,0.9600,0.0358,0.1080,0.0806,0.0680,0.0909,0.3640,0.2550,0.9533,0.0267
40,0.7117,0.0452,0.7298,0.0553,0.6965,0.0516,0.4050,0.0886,0.9600,0.0379,0.1480,0.0765,0.1080,0.0755,0.8480,0.2160,0.9650,0.0200
50,0.8094,0.0648,0.8119,0.0611,0.8071,0.0685,0.5650,0.1079,0.9880,0.0160,0.1560,0.0445,0.1440,0.0294,0.9680,0.0271,0.9720,0.0160
60,0.7856,0.0624,0.7905,0.0642,0.7808,0.0611,0.5250,0.1140,0.9760,0.0388,0.1600,0.0867,0.1360,0.0804,0.9400,0.0704,0.9767,0.0133
70,0.7904,0.1000,0.7927,0.0975,0.7881,0.1025,0.5450,0.1958,0.9640,0.0480,0.2160,0.0463,0.1800,0.0420,0.9880,0.0240,0.9800,0.0114
80,0.8128,0.0535,0.8155,0.0529,0.8101,0.0546,0.5450,0.0900,0.9440,0.0612,0.2200,0.1012,0.1640,0.0753,0.9880,0.0160,0.9825,0.0100
90,0.8493,0.0295,0.8533,0.0246,0.8455,0.0345,0.6050,0.0967,0.9680,0.0271,0.1960,0.1031,0.1640,0.0824,0.9760,0.0480,0.9845,0.0089
100,0.8912,0.0456,0.8928,0.0470,0.8897,0.0444,0.7200,0.0678,0.9800,0.0219,0.2040,0.0637,0.1840,0.0571,0.9840,0.0233,0.9860,0.0080
110,0.8796,0.0176,0.8796,0.0176,0.8796,0.0176,0.6750,0.0652,0.9520,0.0483,0.2520,0.0977,0.2040,0.0731,1.0000,0.0000,0.9873,0.0073
120,0.8500,0.0303,0.8500,0.0303,0.8500,0.0303,0.6500,0.0592,0.9480,0.0588,0.3000,0.1110,0.2480,0.0627,1.0000,0.0000,0.9883,0.0067
130,0.8982,0.0238,0.8982,0.0238,0.8982,0.0238,0.7400,0.0255,0.9640,0.0320,0.2720,0.0449,0.2360,0.0543,0.9960,0.0080,0.9892,0.0062
140,0.8979,0.0316,0.8979,0.0316,0.8979,0.0316,0.7250,0.0652,0.9720,0.0299,0.1960,0.1069,0.1680,0.0845,0.9960,0.0080,0.9900,0.0057
150,0.8812,0.0498,0.8812,0.0498,0.8812,0.0498,0.6900,0.0889,0.9560,0.0388,0.2680,0.1250,0.2240,0.0991,1.0000,0.0000,0.9907,0.0053
160,0.8788,0.0488,0.8788,0.0488,0.8788,0.0488,0.6800,0.0914,0.9640,0.0294,0.3240,0.1091,0.2880,0.0882,1.0000,0.0000,0.9913,0.0050
