n_trained,parse_F1,parse_P,parse_R,parse_EM,gen_gram,gen_novel,gen_lex,gen_gram_novel,p_parse_legal,gen_n,prim_active_frac
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000
10,0.0000,0.0000,0.0000,0.0000,0.7000,0.3000,1.0000,0.0000,0.0000,50,0.8000
20,0.2245,0.2876,0.1841,0.0000,1.0000,0.1000,1.0000,0.1000,0.0000,50,0.9000
30,0.2539,0.3333,0.2050,0.0000,1.0000,0.0800,1.0000,0.0800,0.0000,50,0.9333
40,0.6553,0.6667,0.6444,0.3750,1.0000,0.1400,1.0000,0.1400,0.9600,50,0.9500
50,0.7106,0.7229,0.6987,0.4000,1.0000,0.1200,1.0000,0.1200,0.9400,50,0.9600
60,0.7447,0.7576,0.7322,0.5000,1.0000,0.0600,1.0000,0.0600,0.8200,50,0.9667
70,0.6809,0.6926,0.6695,0.3250,1.0000,0.1400,1.0000,0.1400,0.9400,50,0.9714
80,0.7957,0.8095,0.7824,0.4250,1.0000,0.0800,1.0000,0.0800,0.9600,50,0.9750
90,0.8017,0.8174,0.7866,0.4500,1.0000,0.0800,1.0000,0.0800,0.8800,50,0.9778
100,0.9283,0.9362,0.9205,0.7500,1.0000,0.1400,1.0000,0.1400,0.9400,50,0.9800
110,0.8996,0.8996,0.8996,0.7750,0.9600,0.2200,1.0000,0.1800,1.0000,50,0.9818
120,0.8159,0.8159,0.8159,0.5750,1.0000,0.1400,1.0000,0.1400,1.0000,50,0.9833
130,0.9079,0.9079,0.9079,0.7750,0.9400,0.2600,1.0000,0.2000,0.9800,50,0.9846
140,0.9121,0.9121,0.9121,0.7750,1.0000,0.1000,1.0000,0.1000,1.0000,50,0.9857
150,0.9163,0.9163,0.9163,0.6750,0.9800,0.0800,1.0000,0.0600,1.0000,50,0.9867
160,0.8996,0.8996,0.8996,0.7000,1.0000,0.1200,1.0000,0.1200,1.0000,50,0.9875
