n_trained,parse_F1,parse_P,parse_R,parse_EM,gen_gram,gen_novel,gen_lex,gen_n
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
10,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,1.0000,30
20,0.7840,0.8653,0.7167,0.2500,1.0000,0.0667,1.0000,30
30,0.8565,0.9479,0.7811,0.2500,1.0000,0.1333,1.0000,30
40,0.8103,0.8918,0.7425,0.2250,1.0000,0.1333,1.0000,30
50,0.8750,0.8788,0.8712,0.6250,1.0000,0.0667,1.0000,30
60,0.8957,0.9075,0.8841,0.6500,1.0000,0.0333,1.0000,30
70,0.9130,0.9251,0.9013,0.6750,1.0000,0.1000,1.0000,30
80,0.8783,0.8899,0.8670,0.6000,1.0000,0.1000,1.0000,30
90,0.8913,0.9031,0.8798,0.6000,1.0000,0.1667,1.0000,30
100,0.8996,0.9156,0.8841,0.7000,1.0000,0.1333,1.0000,30
110,0.9348,0.9471,0.9227,0.8250,1.0000,0.0333,1.0000,30
120,0.7598,0.7733,0.7468,0.4750,1.0000,0.0333,1.0000,30
130,0.9469,0.9772,0.9185,0.7750,1.0000,0.1333,1.0000,30
140,0.8908,0.9067,0.8755,0.7000,1.0000,0.1000,1.0000,30
150,0.8913,0.9031,0.8798,0.7000,1.0000,0.1667,1.0000,30
160,0.7913,0.8018,0.7811,0.4250,1.0000,0.1667,1.0000,30
