is_gold,cnt_root_lp,sum_root_lp,sum_leaf_lp,sum_bl_lp,cur_score,chunk_pool_match,L_trans,R_trans
1,-48.17943877453941,-49.49573456623382,-35.766633175065365,-52.92693596509239,-48.512221018659844,1,1,1
0,-88.94611292340642,-89.77975967255169,-91.02982445797916,-87.20628810790673,-116.25506026080016,0,0,0
1,-76.60670437437192,-76.60670437437192,-53.49384213526586,-71.04488307275851,-89.18912111215195,0,0,1
1,-48.391021270841215,-49.76292979163444,-36.460279288873394,-39.49365274655826,-46.90457180856323,1,2,1
0,-75.5954334636721,-76.42908021281737,-109.4507052424514,-74.362301624844,-108.43064503640751,0,0,0
1,-75.59523349253013,-75.59523349253013,-44.97652392452778,-57.33339857684849,-85.62245476708874,0,0,1
1,-48.179438774539406,-49.47367219623453,-35.76635844294569,-52.886509998535466,-48.512138599023935,1,1,1
0,-86.71239864136805,-87.54604539051333,-100.24026485021527,-84.97257382586835,-116.78447809643264,0,0,0
1,-73.69341381986492,-73.69341381986492,-63.397404709000014,-57.37744619732124,-89.2468993297652,0,0,1
1,-48.34980110278573,-50.65787169497705,-44.97797222478748,-35.875924371107494,-58.37745686742225,0,1,0
0,-66.16502050901293,-68.96565586547482,-72.46627478174196,-67.09064989277164,-87.90490294353552,0,0,0
0,-64.95787319533629,-68.28290548242043,-66.43955401162016,-83.09164186634942,-84.88973939882234,0,0,0
1,-50.386139633978914,-52.906828556983406,-27.247135188819733,-32.16782229741884,-32.736350321007265,4,4,6
1,-56.78571953838325,-58.683923197385326,-36.461376438023365,-39.21347516652653,-64.25839656699054,0,0,1
0,-64.95787319533629,-68.28290548242043,-66.43955401162016,-83.09164186634942,-84.88973939882234,0,0,0
1,-50.386139633978914,-52.906828556983406,-27.247135188819733,-32.16782229741884,-32.736350321007265,4,4,6
1,-56.78571953838325,-58.683923197385326,-36.461376438023365,-39.21347516652653,-64.25839656699054,0,0,1
0,-66.167710603119,-68.20565243692717,-48.8846375640875,-58.44357784117008,-75.3400404290047,0,0,2
1,-52.9901413790846,-52.9901413790846,-27.24394201623459,-29.96738148119351,-48.73879073501497,1,1,2
1,-48.537619322163536,-50.74446494930727,-44.97941713678019,-35.46787227546799,-51.634236754798415,1,1,1
0,-64.86995080865117,-67.6234862238057,-79.3371092415253,-66.24343674582481,-85.20534767830904,0,0,1
0,-77.9524054992175,-81.2001455108189,-65.8104408369241,-92.64560008934433,-97.69553775029473,0,0,0
