n_trained,parse_F1,parse_P,parse_R,parse_EM,gen_gram,gen_novel,gen_lex,gen_n
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
10,0.0000,0.0000,0.0000,0.0000,1.0000,0.1000,1.0000,30
20,0.6667,1.0000,0.5000,0.0000,1.0000,0.0667,1.0000,30
30,0.6667,1.0000,0.5000,0.0000,1.0000,0.0333,1.0000,30
40,0.9859,0.9859,0.9859,0.9500,1.0000,0.1667,1.0000,30
50,0.9930,0.9930,0.9930,0.9750,1.0000,0.1667,1.0000,30
60,0.9296,0.9296,0.9296,0.7500,1.0000,0.2333,1.0000,30
70,0.9930,0.9930,0.9930,0.9750,1.0000,0.1333,1.0000,30
80,0.9789,0.9789,0.9789,0.9250,1.0000,0.1667,1.0000,30
90,0.9366,0.9366,0.9366,0.8250,1.0000,0.0667,1.0000,30
100,0.9859,0.9859,0.9859,0.9500,1.0000,0.0000,1.0000,30
110,0.9085,0.9085,0.9085,0.7500,1.0000,0.1000,1.0000,30
120,0.9014,0.9014,0.9014,0.7750,1.0000,0.1333,1.0000,30
130,1.0000,1.0000,1.0000,1.0000,1.0000,0.1333,1.0000,30
140,1.0000,1.0000,1.0000,1.0000,1.0000,0.1000,1.0000,30
150,0.9930,0.9930,0.9930,0.9750,1.0000,0.0667,1.0000,30
160,1.0000,1.0000,1.0000,1.0000,1.0000,0.1667,1.0000,30
