n_trained,parse_F1,parse_P,parse_R,parse_EM,gen_gram,gen_novel,gen_lex,gen_gram_novel,p_parse_legal,gen_n,prim_active_frac
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000
10,0.0000,0.0000,0.0000,0.0000,0.9200,0.1200,1.0000,0.0400,0.0000,50,0.9000
20,0.9170,0.9845,0.8581,0.7000,0.8600,0.1800,1.0000,0.0400,0.7000,50,0.9500
30,0.9595,0.9595,0.9595,0.8500,0.9800,0.0200,1.0000,0.0000,1.0000,50,0.9667
40,0.9392,0.9392,0.9392,0.8250,1.0000,0.0600,1.0000,0.0600,1.0000,50,0.9750
50,0.9865,0.9865,0.9865,0.9500,0.9800,0.0200,1.0000,0.0000,1.0000,50,0.9800
60,1.0000,1.0000,1.0000,1.0000,0.9600,0.1000,1.0000,0.0600,1.0000,50,0.9833
70,0.9730,0.9730,0.9730,0.9000,1.0000,0.0400,1.0000,0.0400,1.0000,50,0.9857
80,0.9797,0.9797,0.9797,0.9250,1.0000,0.0800,1.0000,0.0800,1.0000,50,0.9875
90,1.0000,1.0000,1.0000,1.0000,0.9200,0.1600,1.0000,0.0800,1.0000,50,0.9889
100,1.0000,1.0000,1.0000,1.0000,1.0000,0.0600,1.0000,0.0600,1.0000,50,0.9900
110,0.9932,0.9932,0.9932,0.9750,0.9800,0.1200,1.0000,0.1000,1.0000,50,0.9909
120,1.0000,1.0000,1.0000,1.0000,1.0000,0.1800,1.0000,0.1800,1.0000,50,0.9917
130,1.0000,1.0000,1.0000,1.0000,0.9600,0.1600,1.0000,0.1200,1.0000,50,0.9923
140,1.0000,1.0000,1.0000,1.0000,0.9600,0.1400,1.0000,0.1000,1.0000,50,0.9929
150,1.0000,1.0000,1.0000,1.0000,0.9800,0.1200,1.0000,0.1000,1.0000,50,0.9933
160,1.0000,1.0000,1.0000,1.0000,0.9800,0.1400,1.0000,0.1200,1.0000,50,0.9938
