n_trained,F1_mean,F1_std,P_mean,P_std,R_mean,R_std,EM_mean,EM_std,gen_gram_mean,gen_gram_std,gen_novel_mean,gen_novel_std,gen_gram_novel_mean,gen_gram_novel_std,p_parse_legal_mean,p_parse_legal_std,prim_active_mean,prim_active_std
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5160,0.3885,0.5560,0.3176,0.0720,0.1342,0.0000,0.0000,0.8800,0.0748
20,0.3078,0.2489,0.3945,0.3147,0.2605,0.2174,0.0000,0.0000,0.9240,0.0543,0.1520,0.0816,0.0760,0.0880,0.0560,0.1120,0.9400,0.0374
30,0.7045,0.0478,0.7068,0.0488,0.7023,0.0470,0.2650,0.0464,0.9600,0.0283,0.0680,0.0325,0.0280,0.0466,0.8160,0.0344,0.9600,0.0250
40,0.7674,0.0743,0.7688,0.0749,0.7660,0.0738,0.3900,0.1411,0.9440,0.0496,0.1200,0.0632,0.0640,0.0512,0.7960,0.0408,0.9700,0.0187
50,0.8161,0.0383,0.8181,0.0393,0.8140,0.0375,0.4550,0.1100,0.9400,0.0358,0.1640,0.0637,0.1040,0.0686,0.8080,0.0688,0.9760,0.0150
60,0.7872,0.0658,0.7890,0.0646,0.7854,0.0670,0.3700,0.1946,0.9760,0.0294,0.2760,0.2225,0.2520,0.1970,0.7640,0.0320,0.9800,0.0125
70,0.7651,0.0874,0.7668,0.0860,0.7635,0.0889,0.3150,0.1586,0.9360,0.0294,0.3680,0.2487,0.3040,0.2239,0.7880,0.0744,0.9828,0.0107
80,0.7824,0.0768,0.7842,0.0751,0.7807,0.0785,0.3550,0.1373,0.9200,0.0727,0.2840,0.1830,0.2040,0.1317,0.7640,0.0742,0.9850,0.0094
90,0.7800,0.0506,0.7819,0.0504,0.7781,0.0508,0.3550,0.0992,0.9360,0.0496,0.3720,0.2538,0.3080,0.2085,0.7640,0.0543,0.9867,0.0083
100,0.8378,0.0489,0.8397,0.0465,0.8359,0.0512,0.3950,0.0914,0.9160,0.0388,0.3800,0.1635,0.2960,0.1359,0.8280,0.0412,0.9880,0.0075
110,0.8417,0.0508,0.8437,0.0484,0.8399,0.0532,0.4400,0.0982,0.9280,0.0546,0.4080,0.2156,0.3360,0.1708,0.8160,0.0388,0.9891,0.0068
120,0.8455,0.0482,0.8476,0.0473,0.8435,0.0491,0.4600,0.1420,0.9640,0.0294,0.4640,0.2418,0.4280,0.2382,0.7920,0.0665,0.9900,0.0063
130,0.8825,0.0352,0.8846,0.0332,0.8804,0.0374,0.5750,0.1107,0.9840,0.0196,0.4080,0.1532,0.3920,0.1500,0.7600,0.0522,0.9908,0.0058
140,0.8737,0.0498,0.8758,0.0490,0.8716,0.0508,0.5600,0.1609,0.9440,0.0408,0.4240,0.1878,0.3680,0.1537,0.8280,0.0299,0.9914,0.0054
150,0.8731,0.0367,0.8752,0.0352,0.8710,0.0384,0.5650,0.1102,0.9400,0.0580,0.4120,0.1342,0.3520,0.0917,0.7440,0.0265,0.9920,0.0050
160,0.8503,0.0454,0.8523,0.0433,0.8484,0.0476,0.5100,0.1210,0.9440,0.0367,0.4440,0.1795,0.3880,0.1457,0.7400,0.0522,0.9925,0.0047
