n_trained,parse_F1,parse_P,parse_R,parse_EM,gen_gram,gen_novel,gen_lex,gen_gram_novel,p_parse_legal,gen_n,prim_active_frac
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000
10,0.0000,0.0000,0.0000,0.0000,0.0200,0.9800,1.0000,0.0000,0.0000,50,0.9000
20,0.0461,0.0719,0.0339,0.0000,0.9000,0.1600,1.0000,0.0600,0.0000,50,0.9500
30,0.7288,0.7288,0.7288,0.3000,0.9400,0.0600,1.0000,0.0000,0.8000,50,0.9667
40,0.7254,0.7254,0.7254,0.2750,0.9200,0.1400,1.0000,0.0600,0.7400,50,0.9750
50,0.7966,0.7966,0.7966,0.2750,0.9600,0.1200,1.0000,0.0800,0.8600,50,0.9800
60,0.8339,0.8339,0.8339,0.5000,0.9800,0.1000,1.0000,0.0800,0.8000,50,0.9833
70,0.8678,0.8678,0.8678,0.5000,0.9600,0.0400,1.0000,0.0000,0.7800,50,0.9857
80,0.8881,0.8881,0.8881,0.5500,0.9600,0.0800,1.0000,0.0400,0.7000,50,0.9875
90,0.7593,0.7593,0.7593,0.3250,1.0000,0.1000,1.0000,0.1000,0.7600,50,0.9889
100,0.8983,0.8983,0.8983,0.5250,0.9600,0.3200,1.0000,0.2800,0.7800,50,0.9900
110,0.9017,0.9017,0.9017,0.4750,0.9400,0.3000,1.0000,0.2400,0.7800,50,0.9909
120,0.8407,0.8407,0.8407,0.3750,0.9400,0.2600,1.0000,0.2000,0.6800,50,0.9917
130,0.9153,0.9153,0.9153,0.6250,0.9600,0.2200,1.0000,0.1800,0.7600,50,0.9923
140,0.9254,0.9254,0.9254,0.6250,0.9600,0.1800,1.0000,0.1400,0.8200,50,0.9929
150,0.9186,0.9186,0.9186,0.7000,0.9800,0.2200,1.0000,0.2000,0.7800,50,0.9933
160,0.9017,0.9017,0.9017,0.6750,0.9400,0.3600,1.0000,0.3000,0.7200,50,0.9938
