n_trained,F1_mean,F1_std,EM_mean,EM_std,gen_gram_mean,gen_gram_std,gen_novel_mean,gen_novel_std
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0467,0.0933
20,0.8199,0.0556,0.4050,0.1933,0.9600,0.0800,0.1067,0.1083
30,0.8241,0.0808,0.4150,0.2300,0.9933,0.0133,0.0733,0.0442
40,0.8544,0.0469,0.5100,0.2458,0.9933,0.0133,0.0467,0.0499
50,0.8842,0.0186,0.6650,0.0846,1.0000,0.0000,0.0733,0.0574
60,0.8037,0.1458,0.5550,0.2124,1.0000,0.0000,0.0800,0.0499
70,0.8936,0.0378,0.6350,0.0784,1.0000,0.0000,0.1133,0.0806
80,0.8580,0.0628,0.5600,0.1868,0.9933,0.0133,0.1200,0.0618
90,0.8747,0.0748,0.6550,0.1756,0.9867,0.0267,0.1533,0.0340
100,0.8661,0.0782,0.5950,0.2227,0.9933,0.0133,0.1533,0.0499
110,0.8769,0.0362,0.6350,0.1190,1.0000,0.0000,0.1667,0.0943
120,0.8481,0.0666,0.5950,0.1345,1.0000,0.0000,0.1733,0.0975
130,0.8844,0.0648,0.6700,0.1269,0.9800,0.0400,0.1600,0.1063
140,0.8866,0.0355,0.6350,0.0903,1.0000,0.0000,0.2267,0.1555
150,0.9189,0.0277,0.7250,0.0758,1.0000,0.0000,0.2067,0.1452
160,0.8645,0.0801,0.6200,0.1592,1.0000,0.0000,0.2667,0.0816
