n_trained,parse_F1,parse_P,parse_R,parse_EM,gen_gram,gen_novel,gen_lex,gen_n
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
10,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,1.0000,30
20,0.9212,0.9257,0.9167,0.7750,1.0000,0.0000,1.0000,30
30,0.9461,0.9461,0.9461,0.8500,1.0000,0.0000,1.0000,30
40,0.9412,0.9412,0.9412,0.9000,1.0000,0.0000,1.0000,30
50,0.8812,0.8900,0.8725,0.7000,1.0000,0.0000,1.0000,30
60,0.9360,0.9406,0.9314,0.8000,1.0000,0.0333,1.0000,30
70,0.9015,0.9059,0.8971,0.6500,1.0000,0.0333,1.0000,30
80,0.8099,0.8159,0.8039,0.4250,1.0000,0.0667,1.0000,30
90,0.8256,0.8276,0.8235,0.5500,1.0000,0.1667,1.0000,30
100,0.7970,0.8050,0.7892,0.4000,1.0000,0.0667,1.0000,30
110,0.8416,0.8500,0.8333,0.5500,1.0000,0.1667,1.0000,30
120,0.8049,0.8109,0.7990,0.4500,1.0000,0.2000,1.0000,30
130,0.7654,0.7711,0.7598,0.4250,1.0000,0.0667,1.0000,30
140,0.8593,0.8657,0.8529,0.5750,1.0000,0.1333,1.0000,30
150,0.9163,0.9208,0.9118,0.7000,1.0000,0.0333,1.0000,30
160,0.7500,0.7653,0.7353,0.4500,1.0000,0.4000,1.0000,30
