n_trained,parse_F1,parse_P,parse_R,parse_EM,gen_gram,gen_novel,gen_lex,gen_gram_novel,p_parse_legal,gen_n,prim_active_frac
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000
10,0.0000,0.0000,0.0000,0.0000,0.8000,0.2000,1.0000,0.0000,0.0000,50,0.8000
20,0.4000,0.4709,0.3476,0.0000,0.8400,0.1600,1.0000,0.0000,0.0000,50,0.9000
30,0.6147,0.6842,0.5579,0.1750,0.9800,0.0200,1.0000,0.0000,0.3400,50,0.9333
40,0.7217,0.8010,0.6567,0.2500,1.0000,0.0400,1.0000,0.0400,0.4200,50,0.9500
50,0.9099,0.9099,0.9099,0.7250,1.0000,0.1200,1.0000,0.1200,0.9400,50,0.9600
60,0.8739,0.8855,0.8627,0.6500,1.0000,0.1400,1.0000,0.1400,0.9000,50,0.9667
70,0.9185,0.9185,0.9185,0.7750,1.0000,0.2000,1.0000,0.2000,1.0000,50,0.9714
80,0.8927,0.8927,0.8927,0.6500,1.0000,0.1200,1.0000,0.1200,1.0000,50,0.9750
90,0.8627,0.8627,0.8627,0.6250,1.0000,0.1200,1.0000,0.1200,1.0000,50,0.9778
100,0.9013,0.9013,0.9013,0.7000,1.0000,0.2600,1.0000,0.2600,1.0000,50,0.9800
110,0.8841,0.8841,0.8841,0.6750,1.0000,0.0800,1.0000,0.0800,1.0000,50,0.9818
120,0.8970,0.8970,0.8970,0.7500,1.0000,0.2400,1.0000,0.2400,1.0000,50,0.9833
130,0.9356,0.9356,0.9356,0.7500,1.0000,0.2000,1.0000,0.2000,1.0000,50,0.9846
140,0.9142,0.9142,0.9142,0.7000,1.0000,0.1800,1.0000,0.1800,1.0000,50,0.9857
150,0.9313,0.9313,0.9313,0.7750,1.0000,0.1600,1.0000,0.1600,1.0000,50,0.9867
160,0.9270,0.9270,0.9270,0.7250,1.0000,0.3200,1.0000,0.3200,1.0000,50,0.9875
