n_trained,F1_mean,F1_std,P_mean,P_std,R_mean,R_std,EM_mean,EM_std,gen_gram_mean,gen_gram_std,gen_novel_mean,gen_novel_std,gen_gram_novel_mean,gen_gram_novel_std,p_parse_legal_mean,p_parse_legal_std,prim_active_mean,prim_active_std
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9520,0.0640,0.1440,0.0344,0.0960,0.0709,0.0000,0.0000,0.9600,0.0490
20,0.5834,0.3074,0.7969,0.3985,0.4716,0.2736,0.1400,0.2800,0.9720,0.0560,0.0760,0.0528,0.0480,0.0098,0.1400,0.2800,0.9800,0.0245
30,0.7253,0.1171,0.9919,0.0162,0.5919,0.1838,0.1700,0.3400,0.9960,0.0080,0.0320,0.0160,0.0280,0.0204,0.2000,0.4000,0.9867,0.0163
40,0.9204,0.0410,0.9708,0.0283,0.8812,0.0873,0.5850,0.3281,1.0000,0.0000,0.0760,0.0344,0.0760,0.0344,0.8080,0.2355,0.9900,0.0122
50,0.9973,0.0054,0.9973,0.0054,0.9973,0.0054,0.9900,0.0200,0.9960,0.0080,0.0280,0.0204,0.0240,0.0233,1.0000,0.0000,0.9920,0.0098
60,0.9900,0.0167,0.9900,0.0167,0.9900,0.0167,0.9650,0.0583,0.9920,0.0160,0.0600,0.0456,0.0520,0.0412,1.0000,0.0000,0.9933,0.0082
70,0.9946,0.0108,0.9946,0.0108,0.9946,0.0108,0.9800,0.0400,1.0000,0.0000,0.0720,0.0412,0.0720,0.0412,1.0000,0.0000,0.9943,0.0070
80,0.9918,0.0101,0.9918,0.0101,0.9918,0.0101,0.9750,0.0316,1.0000,0.0000,0.0600,0.0126,0.0600,0.0126,1.0000,0.0000,0.9950,0.0061
90,0.9971,0.0057,0.9971,0.0057,0.9971,0.0057,0.9900,0.0200,0.9840,0.0320,0.0920,0.0466,0.0760,0.0320,1.0000,0.0000,0.9956,0.0054
100,0.9958,0.0034,0.9958,0.0034,0.9958,0.0034,0.9850,0.0122,1.0000,0.0000,0.0560,0.0344,0.0560,0.0344,1.0000,0.0000,0.9960,0.0049
110,0.9930,0.0077,0.9930,0.0077,0.9930,0.0077,0.9800,0.0187,0.9960,0.0080,0.0840,0.0543,0.0800,0.0522,1.0000,0.0000,0.9964,0.0045
120,0.9901,0.0197,0.9901,0.0197,0.9901,0.0197,0.9800,0.0400,1.0000,0.0000,0.1000,0.0420,0.1000,0.0420,1.0000,0.0000,0.9967,0.0041
130,0.9930,0.0077,0.9930,0.0077,0.9930,0.0077,0.9800,0.0187,0.9920,0.0160,0.0880,0.0515,0.0800,0.0420,1.0000,0.0000,0.9969,0.0038
140,0.9437,0.1127,0.9437,0.1127,0.9437,0.1127,0.8950,0.2100,0.9920,0.0160,0.0920,0.0349,0.0840,0.0265,1.0000,0.0000,0.9972,0.0035
150,0.9915,0.0169,0.9915,0.0169,0.9915,0.0169,0.9750,0.0500,0.9960,0.0080,0.1000,0.0473,0.0960,0.0463,1.0000,0.0000,0.9973,0.0033
160,0.9986,0.0028,0.9986,0.0028,0.9986,0.0028,0.9950,0.0100,0.9960,0.0080,0.1120,0.0204,0.1080,0.0160,1.0000,0.0000,0.9975,0.0030
