n_trained,parse_F1,parse_P,parse_R,parse_EM,gen_gram,gen_novel,gen_lex,gen_gram_novel,p_parse_legal,gen_n,prim_active_frac
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000
10,0.0000,0.0000,0.0000,0.0000,0.8400,0.1600,1.0000,0.0000,0.0000,50,1.0000
20,0.0000,0.0000,0.0000,0.0000,1.0000,0.0400,1.0000,0.0400,0.0000,50,1.0000
30,0.6667,1.0000,0.5000,0.0000,1.0000,0.0400,1.0000,0.0400,0.0000,50,1.0000
40,0.8775,1.0000,0.7817,0.2250,1.0000,0.1200,1.0000,0.1200,0.5000,50,1.0000
50,1.0000,1.0000,1.0000,1.0000,1.0000,0.0600,1.0000,0.0600,1.0000,50,1.0000
60,0.9930,0.9930,0.9930,0.9750,1.0000,0.1200,1.0000,0.1200,1.0000,50,1.0000
70,1.0000,1.0000,1.0000,1.0000,1.0000,0.1200,1.0000,0.1200,1.0000,50,1.0000
80,1.0000,1.0000,1.0000,1.0000,1.0000,0.0600,1.0000,0.0600,1.0000,50,1.0000
90,1.0000,1.0000,1.0000,1.0000,1.0000,0.0800,1.0000,0.0800,1.0000,50,1.0000
100,0.9930,0.9930,0.9930,0.9750,1.0000,0.0400,1.0000,0.0400,1.0000,50,1.0000
110,0.9789,0.9789,0.9789,0.9500,1.0000,0.1600,1.0000,0.1600,1.0000,50,1.0000
120,0.9507,0.9507,0.9507,0.9000,1.0000,0.1000,1.0000,0.1000,1.0000,50,1.0000
130,0.9789,0.9789,0.9789,0.9500,1.0000,0.1000,1.0000,0.1000,1.0000,50,1.0000
140,0.7183,0.7183,0.7183,0.4750,1.0000,0.0800,1.0000,0.0800,1.0000,50,1.0000
150,0.9577,0.9577,0.9577,0.8750,1.0000,0.0800,1.0000,0.0800,1.0000,50,1.0000
160,1.0000,1.0000,1.0000,1.0000,1.0000,0.0800,1.0000,0.0800,1.0000,50,1.0000
