n_trained,parse_F1,parse_P,parse_R,parse_EM,gen_gram,gen_novel,gen_lex,gen_n
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
10,0.0000,0.0000,0.0000,0.0000,1.0000,0.0667,1.0000,30
20,0.6667,1.0000,0.5000,0.0000,1.0000,0.0333,1.0000,30
30,0.6667,1.0000,0.5000,0.0000,1.0000,0.0333,1.0000,30
40,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,30
50,0.8649,0.8649,0.8649,0.5250,1.0000,0.0000,1.0000,30
60,0.9527,0.9527,0.9527,0.8500,1.0000,0.0000,1.0000,30
70,0.9797,0.9797,0.9797,0.9250,1.0000,0.0333,1.0000,30
80,0.9662,0.9662,0.9662,0.8750,1.0000,0.1000,1.0000,30
90,0.9797,0.9797,0.9797,0.9250,1.0000,0.0667,1.0000,30
100,0.9932,0.9932,0.9932,0.9750,1.0000,0.0667,1.0000,30
110,1.0000,1.0000,1.0000,1.0000,1.0000,0.0667,1.0000,30
120,0.9932,0.9932,0.9932,0.9750,1.0000,0.1333,1.0000,30
130,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,30
140,1.0000,1.0000,1.0000,1.0000,1.0000,0.1667,1.0000,30
150,0.9932,0.9932,0.9932,0.9750,1.0000,0.0333,1.0000,30
160,0.9865,0.9865,0.9865,0.9500,1.0000,0.0333,1.0000,30
