n_trained,F1_mean,F1_std,P_mean,P_std,R_mean,R_std,EM_mean,EM_std,gen_gram_mean,gen_gram_std,gen_novel_mean,gen_novel_std,gen_gram_novel_mean,gen_gram_novel_std,p_parse_legal_mean,p_parse_legal_std,prim_active_mean,prim_active_std
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,0.6092,0.0449,0.6092,0.0449,0.6092,0.0449,0.1200,0.0557,0.8900,0.0860,0.2100,0.2289,0.1000,0.1517,1.0000,0.0000,0.5600,0.0490
20,0.7492,0.0373,0.7492,0.0373,0.7492,0.0373,0.3200,0.0660,0.8500,0.0707,0.2200,0.1400,0.0700,0.0748,1.0000,0.0000,0.7800,0.0245
30,0.7431,0.0675,0.7431,0.0675,0.7431,0.0675,0.3500,0.0908,0.8800,0.0927,0.1900,0.0860,0.0700,0.0600,1.0000,0.0000,0.8533,0.0164
40,0.7283,0.0616,0.7283,0.0616,0.7283,0.0616,0.3100,0.0957,0.9500,0.0548,0.1900,0.0663,0.1400,0.0200,1.0000,0.0000,0.8900,0.0122
50,0.7414,0.0631,0.7414,0.0631,0.7414,0.0631,0.3400,0.0875,0.9000,0.0837,0.3400,0.0735,0.2400,0.0970,1.0000,0.0000,0.9120,0.0098
60,0.7767,0.0372,0.7767,0.0372,0.7767,0.0372,0.3950,0.1100,0.9500,0.0316,0.2900,0.0490,0.2400,0.0374,1.0000,0.0000,0.9267,0.0081
70,0.7479,0.0618,0.7479,0.0618,0.7479,0.0618,0.3750,0.1084,0.8700,0.0400,0.3400,0.1158,0.2100,0.0860,1.0000,0.0000,0.9372,0.0070
80,0.8139,0.0505,0.8139,0.0505,0.8139,0.0505,0.4600,0.0903,0.9300,0.0245,0.3300,0.0678,0.2600,0.0860,1.0000,0.0000,0.9450,0.0061
90,0.7972,0.0437,0.7972,0.0437,0.7972,0.0437,0.4000,0.0775,0.9300,0.0600,0.3600,0.0200,0.2900,0.0735,1.0000,0.0000,0.9511,0.0055
100,0.8173,0.0854,0.8173,0.0854,0.8173,0.0854,0.4550,0.1560,0.8900,0.0490,0.3500,0.1789,0.2400,0.1356,1.0000,0.0000,0.9560,0.0049
