n_trained,parse_F1,parse_P,parse_R,parse_EM,gen_gram,gen_novel,gen_lex,gen_gram_novel,p_parse_legal,gen_n,prim_active_frac
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000
10,0.5652,0.5652,0.5652,0.1000,0.8500,0.2000,1.0000,0.0500,1.0000,20,0.5000
20,0.7484,0.7484,0.7484,0.2750,0.7500,0.4500,1.0000,0.2000,1.0000,20,0.7500
30,0.6491,0.6491,0.6491,0.2500,0.9000,0.2500,1.0000,0.1500,1.0000,20,0.8333
40,0.6646,0.6646,0.6646,0.2250,0.8500,0.3000,1.0000,0.1500,1.0000,20,0.8750
50,0.6770,0.6770,0.6770,0.2250,0.8500,0.4000,1.0000,0.2500,1.0000,20,0.9000
60,0.7640,0.7640,0.7640,0.3500,0.9500,0.3500,1.0000,0.3000,1.0000,20,0.9167
70,0.7453,0.7453,0.7453,0.3250,0.8500,0.5000,1.0000,0.3500,1.0000,20,0.9286
80,0.7547,0.7547,0.7547,0.4250,0.9500,0.3500,1.0000,0.3000,1.0000,20,0.9375
90,0.8137,0.8137,0.8137,0.4500,0.9000,0.3500,1.0000,0.2500,1.0000,20,0.9444
100,0.8447,0.8447,0.8447,0.4500,0.9000,0.2500,1.0000,0.1500,1.0000,20,0.9500
110,0.8540,0.8540,0.8540,0.4750,0.9500,0.3000,1.0000,0.2500,1.0000,20,0.9545
120,0.8820,0.8820,0.8820,0.6000,0.9000,0.3500,1.0000,0.2500,1.0000,20,0.9583
130,0.8665,0.8665,0.8665,0.6250,1.0000,0.2500,1.0000,0.2500,1.0000,20,0.9615
140,0.8292,0.8292,0.8292,0.5250,0.9500,0.2500,1.0000,0.2000,1.0000,20,0.9643
150,0.8758,0.8758,0.8758,0.6000,1.0000,0.2500,1.0000,0.2500,1.0000,20,0.9667
160,0.8789,0.8789,0.8789,0.5750,0.9500,0.2000,1.0000,0.1500,1.0000,20,0.9688
170,0.9130,0.9130,0.9130,0.6750,0.8500,0.4500,1.0000,0.3000,1.0000,20,0.9706
180,0.9068,0.9068,0.9068,0.7250,0.8500,0.4500,1.0000,0.3000,1.0000,20,0.9722
190,0.9441,0.9441,0.9441,0.8000,0.9500,0.5000,1.0000,0.4500,1.0000,20,0.9737
200,0.9161,0.9161,0.9161,0.6750,0.9500,0.4500,1.0000,0.4000,1.0000,20,0.9750
210,0.9317,0.9317,0.9317,0.7250,1.0000,0.2500,1.0000,0.2500,1.0000,20,0.9762
220,0.9286,0.9286,0.9286,0.7250,0.9500,0.3500,1.0000,0.3000,1.0000,20,0.9773
230,0.9441,0.9441,0.9441,0.7750,0.9500,0.2500,1.0000,0.2000,1.0000,20,0.9783
240,0.9317,0.9317,0.9317,0.7500,1.0000,0.2500,1.0000,0.2500,1.0000,20,0.9792
250,0.9472,0.9472,0.9472,0.8250,1.0000,0.0500,1.0000,0.0500,1.0000,20,0.9800
260,0.8820,0.8820,0.8820,0.7250,1.0000,0.2500,1.0000,0.2500,1.0000,20,0.9808
270,0.8789,0.8789,0.8789,0.6750,1.0000,0.4500,1.0000,0.4500,1.0000,20,0.9815
280,0.8820,0.8820,0.8820,0.7000,1.0000,0.2500,1.0000,0.2500,1.0000,20,0.9821
290,0.8758,0.8758,0.8758,0.6500,0.9500,0.3000,1.0000,0.2500,1.0000,20,0.9828
300,0.9193,0.9193,0.9193,0.7000,1.0000,0.4000,1.0000,0.4000,1.0000,20,0.9833
310,0.9317,0.9317,0.9317,0.7000,0.9000,0.2000,1.0000,0.1000,1.0000,20,0.9839
320,0.9224,0.9224,0.9224,0.7250,0.9960,0.2960,1.0000,0.2920,1.0000,500,0.9844
