n_trained,F1_mean,F1_std,P_mean,P_std,R_mean,R_std,EM_mean,EM_std,gen_gram_mean,gen_gram_std,gen_novel_mean,gen_novel_std,gen_gram_novel_mean,gen_gram_novel_std,p_parse_legal_mean,p_parse_legal_std,prim_active_mean,prim_active_std
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,0.7136,0.0664,0.7136,0.0664,0.7136,0.0664,0.2100,0.0846,0.6900,0.2154,0.5200,0.1691,0.2100,0.1241,1.0000,0.0000,0.6200,0.0400
20,0.8404,0.0311,0.8404,0.0311,0.8404,0.0311,0.4100,0.0982,0.7400,0.1744,0.6100,0.1530,0.3500,0.2408,1.0000,0.0000,0.8100,0.0200
30,0.8878,0.0292,0.8878,0.0292,0.8878,0.0292,0.5300,0.1400,0.7900,0.0735,0.6000,0.1000,0.3900,0.1428,1.0000,0.0000,0.8734,0.0133
40,0.8768,0.0371,0.8768,0.0371,0.8768,0.0371,0.5100,0.1562,0.7000,0.0949,0.6900,0.1200,0.3900,0.0735,1.0000,0.0000,0.9050,0.0100
50,0.8875,0.0354,0.8875,0.0354,0.8875,0.0354,0.6050,0.1166,0.8000,0.1049,0.6400,0.0735,0.4400,0.1393,1.0000,0.0000,0.9240,0.0080
60,0.9067,0.0502,0.9067,0.0502,0.9067,0.0502,0.6750,0.1025,0.8100,0.1200,0.6300,0.0510,0.4400,0.1562,1.0000,0.0000,0.9366,0.0067
70,0.9368,0.0178,0.9368,0.0178,0.9368,0.0178,0.7500,0.0689,0.8100,0.1158,0.5500,0.1304,0.3600,0.1393,1.0000,0.0000,0.9457,0.0057
80,0.9261,0.0238,0.9261,0.0238,0.9261,0.0238,0.7200,0.0430,0.7600,0.0583,0.6600,0.1114,0.4200,0.1400,1.0000,0.0000,0.9525,0.0050
90,0.9187,0.0468,0.9187,0.0468,0.9187,0.0468,0.7300,0.1166,0.7900,0.1241,0.5900,0.1393,0.3800,0.1691,1.0000,0.0000,0.9578,0.0044
100,0.9493,0.0337,0.9493,0.0337,0.9493,0.0337,0.8300,0.0857,0.8300,0.1030,0.6200,0.0748,0.4500,0.1703,1.0000,0.0000,0.9620,0.0040
110,0.9374,0.0428,0.9374,0.0428,0.9374,0.0428,0.7850,0.1044,0.8500,0.0894,0.6600,0.1744,0.5100,0.2035,1.0000,0.0000,0.9654,0.0036
120,0.9354,0.0489,0.9354,0.0489,0.9354,0.0489,0.7900,0.1231,0.8000,0.1225,0.6400,0.0583,0.4400,0.1020,1.0000,0.0000,0.9684,0.0033
130,0.9491,0.0416,0.9491,0.0416,0.9491,0.0416,0.8350,0.1114,0.8500,0.0316,0.7400,0.1020,0.5900,0.1020,1.0000,0.0000,0.9707,0.0031
140,0.9495,0.0474,0.9495,0.0474,0.9495,0.0474,0.8150,0.1736,0.9000,0.0837,0.7300,0.0678,0.6300,0.1030,1.0000,0.0000,0.9728,0.0029
150,0.9700,0.0138,0.9700,0.0138,0.9700,0.0138,0.8850,0.0515,0.8700,0.0678,0.7000,0.1581,0.5700,0.1470,1.0000,0.0000,0.9746,0.0027
160,0.9643,0.0191,0.9643,0.0191,0.9643,0.0191,0.8600,0.0583,0.8800,0.0510,0.6300,0.1691,0.5100,0.1281,1.0000,0.0000,0.9762,0.0025
170,0.9650,0.0137,0.9650,0.0137,0.9650,0.0137,0.8600,0.0464,0.9200,0.0510,0.6200,0.1208,0.5400,0.1200,1.0000,0.0000,0.9777,0.0024
180,0.9713,0.0182,0.9713,0.0182,0.9713,0.0182,0.8850,0.0583,0.8900,0.1068,0.6100,0.1281,0.5000,0.1703,1.0000,0.0000,0.9789,0.0022
190,0.9650,0.0216,0.9650,0.0216,0.9650,0.0216,0.8650,0.0718,0.9300,0.0748,0.6200,0.0245,0.5500,0.0837,1.0000,0.0000,0.9800,0.0021
200,0.9477,0.0210,0.9477,0.0210,0.9477,0.0210,0.8250,0.0500,0.9000,0.0707,0.6600,0.1020,0.5600,0.0970,1.0000,0.0000,0.9810,0.0020
