n_trained,parse_F1,parse_P,parse_R,parse_EM,gen_gram,gen_novel,gen_lex,gen_gram_novel,p_parse_legal,gen_n,prim_active_frac
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000
10,0.6760,0.6760,0.6760,0.1250,0.9000,0.2500,1.0000,0.1500,1.0000,20,0.6000
20,0.8255,0.8255,0.8255,0.3500,0.6500,0.6500,1.0000,0.3000,1.0000,20,0.8000
30,0.9252,0.9252,0.9252,0.7000,0.7000,0.4500,1.0000,0.1500,1.0000,20,0.8667
40,0.8941,0.8941,0.8941,0.6750,0.6000,0.7500,1.0000,0.3500,1.0000,20,0.9000
50,0.9128,0.9128,0.9128,0.7750,0.7000,0.7000,1.0000,0.4000,1.0000,20,0.9200
60,0.9346,0.9346,0.9346,0.7500,0.7000,0.6500,1.0000,0.3500,1.0000,20,0.9333
70,0.9626,0.9626,0.9626,0.8750,0.7500,0.5500,1.0000,0.3000,1.0000,20,0.9429
80,0.9502,0.9502,0.9502,0.7500,0.7000,0.6500,1.0000,0.3500,1.0000,20,0.9500
90,0.9595,0.9595,0.9595,0.9000,0.6000,0.7500,1.0000,0.3500,1.0000,20,0.9556
100,0.9626,0.9626,0.9626,0.8500,0.7500,0.6000,1.0000,0.3500,1.0000,20,0.9600
110,0.9252,0.9252,0.9252,0.7500,0.8000,0.6500,1.0000,0.4500,1.0000,20,0.9636
120,0.9470,0.9470,0.9470,0.8500,0.7000,0.6000,1.0000,0.3000,1.0000,20,0.9667
130,0.9720,0.9720,0.9720,0.9250,0.8500,0.5500,1.0000,0.4000,1.0000,20,0.9692
140,0.9720,0.9720,0.9720,0.9250,1.0000,0.6500,1.0000,0.6500,1.0000,20,0.9714
150,0.9657,0.9657,0.9657,0.9000,0.8000,0.5500,1.0000,0.3500,1.0000,20,0.9733
160,0.9346,0.9346,0.9346,0.8000,0.8500,0.6500,1.0000,0.5000,1.0000,20,0.9750
170,0.9470,0.9470,0.9470,0.8500,0.8500,0.6000,1.0000,0.4500,1.0000,20,0.9765
180,0.9470,0.9470,0.9470,0.8500,0.9500,0.5000,1.0000,0.4500,1.0000,20,0.9778
190,0.9346,0.9346,0.9346,0.8000,0.8000,0.6000,1.0000,0.4000,1.0000,20,0.9789
200,0.9502,0.9502,0.9502,0.8500,0.8500,0.8500,1.0000,0.7000,1.0000,20,0.9800
210,0.9688,0.9688,0.9688,0.9250,0.9000,0.4500,1.0000,0.3500,1.0000,20,0.9810
220,0.9720,0.9720,0.9720,0.9250,1.0000,0.5500,1.0000,0.5500,1.0000,20,0.9818
230,0.9595,0.9595,0.9595,0.9250,0.8000,0.6000,1.0000,0.4000,1.0000,20,0.9826
240,0.9657,0.9657,0.9657,0.9500,0.9500,0.5000,1.0000,0.4500,1.0000,20,0.9833
250,0.9470,0.9470,0.9470,0.9250,0.9000,0.8500,1.0000,0.7500,1.0000,20,0.9840
260,0.9595,0.9595,0.9595,0.9250,0.9500,0.5500,1.0000,0.5000,1.0000,20,0.9846
270,0.9626,0.9626,0.9626,0.9250,1.0000,0.5500,1.0000,0.5500,1.0000,20,0.9852
280,0.9626,0.9626,0.9626,0.9250,1.0000,0.5500,1.0000,0.5500,1.0000,20,0.9857
290,0.9626,0.9626,0.9626,0.9250,0.9000,0.6500,1.0000,0.5500,1.0000,20,0.9862
300,0.9626,0.9626,0.9626,0.9250,1.0000,0.8500,1.0000,0.8500,1.0000,20,0.9867
310,0.9626,0.9626,0.9626,0.9250,0.9500,0.7000,1.0000,0.6500,1.0000,20,0.9871
320,0.9626,0.9626,0.9626,0.9250,0.9260,0.6380,1.0000,0.5640,1.0000,500,0.9875
