n_trained,F1_mean,F1_std,P_mean,P_std,R_mean,R_std,EM_mean,EM_std,gen_gram_mean,gen_gram_std,gen_novel_mean,gen_novel_std,gen_gram_novel_mean,gen_gram_novel_std,p_parse_legal_mean,p_parse_legal_std,prim_active_mean,prim_active_std
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,0.7011,0.0250,0.7011,0.0250,0.7011,0.0250,0.2400,0.0339,0.7000,0.1817,0.3500,0.2366,0.0500,0.0632,1.0000,0.0000,0.6200,0.0400
20,0.8315,0.0703,0.8315,0.0703,0.8315,0.0703,0.4700,0.1288,0.6700,0.0400,0.4800,0.0980,0.1500,0.1265,1.0000,0.0000,0.8100,0.0200
30,0.8334,0.0602,0.8334,0.0602,0.8334,0.0602,0.4800,0.1042,0.7700,0.1288,0.3500,0.1049,0.1200,0.0812,1.0000,0.0000,0.8734,0.0133
40,0.8256,0.0616,0.8256,0.0616,0.8256,0.0616,0.4750,0.0742,0.8700,0.1030,0.4300,0.1327,0.3000,0.1449,1.0000,0.0000,0.9050,0.0100
50,0.8700,0.0414,0.8700,0.0414,0.8700,0.0414,0.5200,0.0914,0.8600,0.0663,0.3700,0.1503,0.2300,0.1327,1.0000,0.0000,0.9240,0.0080
60,0.8879,0.0611,0.8879,0.0611,0.8879,0.0611,0.6050,0.1400,0.8600,0.1241,0.4300,0.1470,0.2900,0.1200,1.0000,0.0000,0.9366,0.0067
70,0.8735,0.0558,0.8735,0.0558,0.8735,0.0558,0.5600,0.1241,0.9400,0.0490,0.4400,0.1068,0.3800,0.0872,1.0000,0.0000,0.9457,0.0057
80,0.8680,0.0707,0.8680,0.0707,0.8680,0.0707,0.5750,0.1754,0.9400,0.0374,0.4800,0.1208,0.4200,0.1166,1.0000,0.0000,0.9525,0.0050
90,0.8769,0.0663,0.8769,0.0663,0.8769,0.0663,0.6050,0.1646,0.8800,0.1030,0.4700,0.0812,0.3500,0.1265,1.0000,0.0000,0.9578,0.0044
100,0.9042,0.0443,0.9042,0.0443,0.9042,0.0443,0.6800,0.1100,0.8600,0.1068,0.5100,0.1281,0.3700,0.1806,1.0000,0.0000,0.9620,0.0040
110,0.8924,0.0412,0.8924,0.0412,0.8924,0.0412,0.6400,0.1091,0.8700,0.0748,0.4600,0.1158,0.3300,0.1030,1.0000,0.0000,0.9654,0.0036
120,0.8784,0.0487,0.8784,0.0487,0.8784,0.0487,0.5700,0.1030,0.9000,0.0548,0.4700,0.0748,0.3700,0.0872,1.0000,0.0000,0.9684,0.0033
130,0.8987,0.0560,0.8987,0.0560,0.8987,0.0560,0.6450,0.1461,0.9200,0.0510,0.3900,0.1655,0.3100,0.1497,1.0000,0.0000,0.9707,0.0031
140,0.9161,0.0459,0.9161,0.0459,0.9161,0.0459,0.7100,0.1221,0.9200,0.0678,0.6000,0.0707,0.5200,0.0400,1.0000,0.0000,0.9728,0.0029
