n_trained,F1_mean,F1_std,P_mean,P_std,R_mean,R_std,EM_mean,EM_std,gen_gram_mean,gen_gram_std,gen_novel_mean,gen_novel_std,gen_gram_novel_mean,gen_gram_novel_std,p_parse_legal_mean,p_parse_legal_std,prim_active_mean,prim_active_std
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,0.6363,0.0460,0.6363,0.0460,0.6363,0.0460,0.1610,0.0677,0.8125,0.1548,0.2600,0.1848,0.0725,0.1270,1.0000,0.0000,0.5900,0.0700
20,0.7383,0.0339,0.7383,0.0339,0.7383,0.0339,0.3020,0.0542,0.8250,0.0829,0.2675,0.1372,0.0925,0.0841,1.0000,0.0000,0.7950,0.0350
30,0.7462,0.0364,0.7462,0.0364,0.7462,0.0364,0.3480,0.0551,0.8575,0.1248,0.2250,0.1240,0.0825,0.0554,1.0000,0.0000,0.8633,0.0233
40,0.7475,0.0457,0.7475,0.0457,0.7475,0.0457,0.3685,0.0741,0.9100,0.0752,0.2525,0.1112,0.1625,0.0864,1.0000,0.0000,0.8975,0.0175
50,0.7561,0.0502,0.7561,0.0502,0.7561,0.0502,0.3875,0.0662,0.8900,0.0889,0.3375,0.1283,0.2275,0.1101,1.0000,0.0000,0.9180,0.0140
60,0.7877,0.0289,0.7877,0.0289,0.7877,0.0289,0.4220,0.0672,0.9325,0.0531,0.3075,0.1186,0.2400,0.1079,1.0000,0.0000,0.9317,0.0117
70,0.7938,0.0451,0.7938,0.0451,0.7938,0.0451,0.4445,0.0901,0.8975,0.0536,0.3575,0.0991,0.2550,0.0986,1.0000,0.0000,0.9415,0.0100
80,0.8043,0.0521,0.8043,0.0521,0.8043,0.0521,0.4615,0.0921,0.9125,0.0630,0.3200,0.1065,0.2325,0.0965,1.0000,0.0000,0.9487,0.0088
90,0.8037,0.0486,0.8037,0.0486,0.8037,0.0486,0.4675,0.0898,0.9325,0.0531,0.3425,0.1028,0.2750,0.1167,1.0000,0.0000,0.9545,0.0078
100,0.8019,0.0636,0.8019,0.0636,0.8019,0.0636,0.4700,0.1138,0.9050,0.0589,0.3300,0.1373,0.2350,0.1014,1.0000,0.0000,0.9590,0.0070
110,0.8045,0.0624,0.8045,0.0624,0.8045,0.0624,0.4775,0.1206,0.8925,0.0712,0.3575,0.1154,0.2500,0.1025,1.0000,0.0000,0.9627,0.0064
120,0.8152,0.0578,0.8152,0.0578,0.8152,0.0578,0.4940,0.1125,0.9150,0.0550,0.3875,0.1117,0.3025,0.1123,1.0000,0.0000,0.9658,0.0058
130,0.8297,0.0519,0.8297,0.0519,0.8297,0.0519,0.5185,0.1007,0.9400,0.0561,0.3600,0.1179,0.3000,0.1118,1.0000,0.0000,0.9684,0.0054
140,0.8237,0.0467,0.8237,0.0467,0.8237,0.0467,0.5105,0.0917,0.9275,0.0536,0.3650,0.1174,0.2925,0.1076,1.0000,0.0000,0.9707,0.0050
150,0.8440,0.0409,0.8440,0.0409,0.8440,0.0409,0.5480,0.0928,0.9325,0.0657,0.3725,0.1188,0.3050,0.1011,1.0000,0.0000,0.9727,0.0047
160,0.8537,0.0434,0.8537,0.0434,0.8537,0.0434,0.5700,0.1006,0.9275,0.0661,0.3675,0.1110,0.2950,0.1172,1.0000,0.0000,0.9744,0.0043
170,0.8419,0.0425,0.8419,0.0425,0.8419,0.0425,0.5455,0.0902,0.9250,0.0487,0.4000,0.0987,0.3250,0.0829,1.0000,0.0000,0.9759,0.0041
180,0.8448,0.0421,0.8448,0.0421,0.8448,0.0421,0.5340,0.1023,0.9275,0.0642,0.4225,0.1134,0.3500,0.0725,1.0000,0.0000,0.9772,0.0039
190,0.8557,0.0388,0.8557,0.0388,0.8557,0.0388,0.5620,0.0942,0.9425,0.0554,0.4125,0.1117,0.3550,0.1036,1.0000,0.0000,0.9784,0.0037
200,0.8646,0.0351,0.8646,0.0351,0.8646,0.0351,0.5750,0.0863,0.9500,0.0418,0.3925,0.1287,0.3425,0.1121,1.0000,0.0000,0.9795,0.0035
210,0.8656,0.0363,0.8656,0.0363,0.8656,0.0363,0.5820,0.0862,0.9500,0.0500,0.3700,0.0992,0.3200,0.0914,1.0000,0.0000,0.9805,0.0033
220,0.8776,0.0336,0.8776,0.0336,0.8776,0.0336,0.6145,0.0810,0.9500,0.0447,0.3850,0.1276,0.3350,0.1195,1.0000,0.0000,0.9814,0.0032
230,0.8777,0.0344,0.8777,0.0344,0.8777,0.0344,0.6125,0.0785,0.9400,0.0515,0.4100,0.1261,0.3500,0.1255,1.0000,0.0000,0.9822,0.0030
240,0.8841,0.0349,0.8841,0.0349,0.8841,0.0349,0.6290,0.0952,0.9475,0.0580,0.3975,0.1123,0.3450,0.1139,1.0000,0.0000,0.9829,0.0029
250,0.8913,0.0339,0.8913,0.0339,0.8913,0.0339,0.6450,0.0940,0.9700,0.0430,0.3375,0.1457,0.3075,0.1425,1.0000,0.0000,0.9836,0.0028
260,0.8923,0.0343,0.8923,0.0343,0.8923,0.0343,0.6585,0.0974,0.9575,0.0618,0.4025,0.1479,0.3600,0.1497,1.0000,0.0000,0.9842,0.0027
270,0.8968,0.0315,0.8968,0.0315,0.8968,0.0315,0.6640,0.1005,0.9750,0.0296,0.4375,0.1254,0.4125,0.1254,1.0000,0.0000,0.9848,0.0026
280,0.8935,0.0364,0.8935,0.0364,0.8935,0.0364,0.6590,0.1028,0.9525,0.0680,0.4075,0.1087,0.3600,0.0943,1.0000,0.0000,0.9853,0.0025
290,0.8936,0.0414,0.8936,0.0414,0.8936,0.0414,0.6630,0.1182,0.9675,0.0363,0.3800,0.0828,0.3475,0.0955,1.0000,0.0000,0.9859,0.0024
300,0.9028,0.0316,0.9028,0.0316,0.9028,0.0316,0.6825,0.0950,0.9662,0.0164,0.4099,0.0740,0.3761,0.0672,1.0000,0.0000,0.9863,0.0023
