n_trained,parse_F1,parse_P,parse_R,parse_EM,gen_gram,gen_novel,gen_lex,gen_gram_novel,p_parse_legal,gen_n,prim_active_frac
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000
10,0.6505,0.6505,0.6505,0.1300,0.8000,0.2000,1.0000,0.0000,1.0000,20,0.6000
20,0.7774,0.7774,0.7774,0.3200,0.9500,0.1000,1.0000,0.0500,1.0000,20,0.8000
30,0.7761,0.7761,0.7761,0.4000,0.8500,0.3000,1.0000,0.1500,1.0000,20,0.8667
40,0.7761,0.7761,0.7761,0.3800,0.8500,0.3000,1.0000,0.1500,1.0000,20,0.9000
50,0.8134,0.8134,0.8134,0.4400,0.9000,0.2000,1.0000,0.1000,1.0000,20,0.9200
60,0.8184,0.8184,0.8184,0.4500,0.9500,0.1500,1.0000,0.1000,1.0000,20,0.9333
70,0.7948,0.7948,0.7948,0.3900,0.9500,0.2500,1.0000,0.2000,1.0000,20,0.9429
80,0.8209,0.8209,0.8209,0.3900,0.7500,0.4500,1.0000,0.2000,1.0000,20,0.9500
90,0.8383,0.8383,0.8383,0.4800,0.8500,0.2500,1.0000,0.1000,1.0000,20,0.9556
100,0.8507,0.8507,0.8507,0.5100,0.7500,0.5000,1.0000,0.2500,1.0000,20,0.9600
110,0.8570,0.8570,0.8570,0.5800,0.9000,0.3500,1.0000,0.2500,1.0000,20,0.9636
120,0.9017,0.9017,0.9017,0.6500,0.9500,0.3000,1.0000,0.2500,1.0000,20,0.9667
130,0.8968,0.8968,0.8968,0.6200,0.9000,0.3500,1.0000,0.2500,1.0000,20,0.9692
140,0.8868,0.8868,0.8868,0.5800,0.8000,0.5000,1.0000,0.3000,1.0000,20,0.9714
150,0.9179,0.9179,0.9179,0.7700,0.9500,0.4500,1.0000,0.4000,1.0000,20,0.9733
160,0.9341,0.9341,0.9341,0.7900,0.8500,0.4500,1.0000,0.3000,1.0000,20,0.9750
170,0.9353,0.9353,0.9353,0.7600,0.9500,0.5000,1.0000,0.4500,1.0000,20,0.9765
180,0.9254,0.9254,0.9254,0.7400,0.9000,0.5000,1.0000,0.4000,1.0000,20,0.9778
190,0.9279,0.9279,0.9279,0.7400,0.9000,0.5000,1.0000,0.4000,1.0000,20,0.9789
200,0.9030,0.9030,0.9030,0.6600,0.9000,0.6000,1.0000,0.5000,1.0000,20,0.9800
210,0.9092,0.9092,0.9092,0.6900,1.0000,0.3500,1.0000,0.3500,1.0000,20,0.9810
220,0.9192,0.9192,0.9192,0.7400,0.9500,0.1500,1.0000,0.1000,1.0000,20,0.9818
230,0.8955,0.8955,0.8955,0.6100,0.9500,0.3500,1.0000,0.3000,1.0000,20,0.9826
240,0.9216,0.9216,0.9216,0.7400,0.9500,0.3500,1.0000,0.3000,1.0000,20,0.9833
250,0.9378,0.9378,0.9378,0.7800,1.0000,0.5000,1.0000,0.5000,1.0000,20,0.9840
260,0.9428,0.9428,0.9428,0.8100,0.8000,0.6000,1.0000,0.4000,1.0000,20,0.9846
270,0.9366,0.9366,0.9366,0.7700,1.0000,0.5500,1.0000,0.5500,1.0000,20,0.9852
280,0.9254,0.9254,0.9254,0.7600,0.9000,0.5500,1.0000,0.4500,1.0000,20,0.9857
290,0.9117,0.9117,0.9117,0.7300,0.9500,0.3500,1.0000,0.3000,1.0000,20,0.9862
300,0.9266,0.9266,0.9266,0.7600,0.9520,0.4200,1.0000,0.3720,1.0000,500,0.9867
