n_trained,F1_mean,F1_std,P_mean,P_std,R_mean,R_std,EM_mean,EM_std,gen_gram_mean,gen_gram_std,gen_novel_mean,gen_novel_std,gen_gram_novel_mean,gen_gram_novel_std,p_parse_legal_mean,p_parse_legal_std,prim_active_mean,prim_active_std
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,0.7061,0.0827,0.7061,0.0827,0.7061,0.0827,0.2035,0.0776,0.7050,0.1857,0.4625,0.1829,0.1675,0.1110,1.0000,0.0000,0.6150,0.0477
20,0.8236,0.0564,0.8236,0.0564,0.8236,0.0564,0.3910,0.1515,0.7300,0.1418,0.5775,0.1470,0.3075,0.1912,1.0000,0.0000,0.8075,0.0238
30,0.8374,0.0622,0.8374,0.0622,0.8374,0.0622,0.4320,0.1541,0.7675,0.1645,0.5750,0.1521,0.3425,0.1535,1.0000,0.0000,0.8717,0.0159
40,0.8584,0.0693,0.8584,0.0693,0.8584,0.0693,0.5075,0.1896,0.7775,0.1230,0.5825,0.1390,0.3600,0.1102,1.0000,0.0000,0.9038,0.0119
50,0.8773,0.0637,0.8773,0.0637,0.8773,0.0637,0.5730,0.1711,0.7950,0.1303,0.6650,0.1119,0.4600,0.1190,1.0000,0.0000,0.9230,0.0095
60,0.8856,0.0688,0.8856,0.0688,0.8856,0.0688,0.6060,0.1894,0.7975,0.1436,0.6950,0.1094,0.4925,0.1408,1.0000,0.0000,0.9358,0.0080
70,0.9034,0.0663,0.9034,0.0663,0.9034,0.0663,0.6460,0.2084,0.8250,0.1157,0.6025,0.1054,0.4275,0.1327,1.0000,0.0000,0.9450,0.0068
80,0.9057,0.0628,0.9057,0.0628,0.9057,0.0628,0.6465,0.1893,0.8150,0.0976,0.6950,0.1350,0.5100,0.1554,1.0000,0.0000,0.9519,0.0060
90,0.9130,0.0585,0.9130,0.0585,0.9130,0.0585,0.6775,0.1849,0.8325,0.0939,0.6325,0.1325,0.4650,0.1598,1.0000,0.0000,0.9573,0.0053
100,0.9227,0.0523,0.9227,0.0523,0.9227,0.0523,0.7020,0.1865,0.8325,0.0965,0.6600,0.1079,0.4925,0.1121,1.0000,0.0000,0.9615,0.0048
110,0.9178,0.0485,0.9178,0.0485,0.9178,0.0485,0.7000,0.1416,0.8400,0.1210,0.6750,0.1537,0.5150,0.1667,1.0000,0.0000,0.9650,0.0043
120,0.9240,0.0477,0.9240,0.0477,0.9240,0.0477,0.7045,0.1693,0.8375,0.1203,0.6850,0.1130,0.5225,0.1299,1.0000,0.0000,0.9679,0.0040
130,0.9250,0.0588,0.9250,0.0588,0.9250,0.0588,0.7270,0.1816,0.8400,0.0815,0.7075,0.1197,0.5475,0.1188,1.0000,0.0000,0.9704,0.0037
140,0.9258,0.0609,0.9258,0.0609,0.9258,0.0609,0.7205,0.1926,0.8925,0.0657,0.7075,0.1238,0.6000,0.1151,1.0000,0.0000,0.9725,0.0034
150,0.9249,0.0584,0.9249,0.0584,0.9249,0.0584,0.7210,0.1744,0.8925,0.0729,0.6750,0.1365,0.5675,0.1434,1.0000,0.0000,0.9743,0.0032
160,0.9292,0.0551,0.9292,0.0551,0.9292,0.0551,0.7350,0.1923,0.8700,0.0748,0.6275,0.1270,0.4975,0.1337,1.0000,0.0000,0.9759,0.0030
170,0.9368,0.0464,0.9368,0.0464,0.9368,0.0464,0.7655,0.1538,0.9075,0.0884,0.6975,0.0993,0.6050,0.1106,1.0000,0.0000,0.9774,0.0028
180,0.9322,0.0508,0.9322,0.0508,0.9322,0.0508,0.7475,0.1729,0.9200,0.0857,0.6000,0.0725,0.5200,0.1134,1.0000,0.0000,0.9786,0.0026
190,0.9355,0.0552,0.9355,0.0552,0.9355,0.0552,0.7525,0.1902,0.9125,0.0687,0.6575,0.0694,0.5700,0.0748,1.0000,0.0000,0.9797,0.0025
200,0.9356,0.0514,0.9356,0.0514,0.9356,0.0514,0.7565,0.1713,0.9225,0.0915,0.6700,0.0941,0.5925,0.0884,1.0000,0.0000,0.9808,0.0024
210,0.9404,0.0583,0.9404,0.0583,0.9404,0.0583,0.7740,0.1943,0.9250,0.0622,0.6500,0.1275,0.5750,0.1337,1.0000,0.0000,0.9817,0.0023
220,0.9381,0.0523,0.9381,0.0523,0.9381,0.0523,0.7730,0.1519,0.9550,0.0589,0.6450,0.1254,0.6000,0.1351,1.0000,0.0000,0.9825,0.0022
230,0.9414,0.0518,0.9414,0.0518,0.9414,0.0518,0.7835,0.1592,0.9375,0.0668,0.7025,0.1188,0.6400,0.1231,1.0000,0.0000,0.9833,0.0021
240,0.9412,0.0494,0.9412,0.0494,0.9412,0.0494,0.7830,0.1540,0.9300,0.0843,0.6775,0.0887,0.6075,0.0884,1.0000,0.0000,0.9839,0.0020
250,0.9416,0.0471,0.9416,0.0471,0.9416,0.0471,0.7950,0.1376,0.9125,0.1011,0.6750,0.1199,0.5875,0.1619,1.0000,0.0000,0.9846,0.0019
260,0.9460,0.0452,0.9460,0.0452,0.9460,0.0452,0.7970,0.1538,0.9450,0.0568,0.6225,0.1101,0.5675,0.0978,1.0000,0.0000,0.9852,0.0018
270,0.9405,0.0447,0.9405,0.0447,0.9405,0.0447,0.7850,0.1574,0.9400,0.0735,0.6925,0.0939,0.6325,0.1016,1.0000,0.0000,0.9858,0.0018
280,0.9300,0.0580,0.9300,0.0580,0.9300,0.0580,0.7445,0.2026,0.9425,0.0554,0.7000,0.1037,0.6425,0.1028,1.0000,0.0000,0.9862,0.0017
290,0.9394,0.0495,0.9394,0.0495,0.9394,0.0495,0.7780,0.1821,0.9400,0.0682,0.6850,0.0989,0.6250,0.1240,1.0000,0.0000,0.9867,0.0017
300,0.9429,0.0465,0.9429,0.0465,0.9429,0.0465,0.7900,0.1628,0.9377,0.0530,0.6536,0.0480,0.5913,0.0586,1.0000,0.0000,0.9872,0.0016
