n_trained,parse_F1,parse_P,parse_R,parse_EM,gen_gram,gen_novel,gen_lex,gen_gram_novel,p_parse_legal,gen_n,prim_active_frac
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000
10,0.7353,0.7353,0.7353,0.2300,0.7500,0.4000,1.0000,0.1500,1.0000,20,0.6000
20,0.6520,0.6520,0.6520,0.0500,0.6000,0.7500,1.0000,0.3500,1.0000,20,0.8000
30,0.6716,0.6716,0.6716,0.1500,0.6500,0.5000,1.0000,0.1500,1.0000,20,0.8667
40,0.6532,0.6532,0.6532,0.1300,0.7500,0.6500,1.0000,0.4000,1.0000,20,0.9000
50,0.7623,0.7623,0.7623,0.2900,0.8500,0.5000,1.0000,0.3500,1.0000,20,0.9200
60,0.7868,0.7868,0.7868,0.3600,0.5500,0.8500,1.0000,0.4000,1.0000,20,0.9333
70,0.7488,0.7488,0.7488,0.2700,0.8000,0.6500,1.0000,0.4500,1.0000,20,0.9429
80,0.8199,0.8199,0.8199,0.4500,0.7500,0.6000,1.0000,0.3500,1.0000,20,0.9500
90,0.8321,0.8321,0.8321,0.5100,0.8500,0.7500,1.0000,0.6000,1.0000,20,0.9556
100,0.8223,0.8223,0.8223,0.3900,0.7500,0.9000,1.0000,0.6500,1.0000,20,0.9600
110,0.8382,0.8382,0.8382,0.4900,0.8500,0.7500,1.0000,0.6000,1.0000,20,0.9636
120,0.8738,0.8738,0.8738,0.4900,0.7000,0.7500,1.0000,0.4500,1.0000,20,0.9667
130,0.7892,0.7892,0.7892,0.4000,0.7500,0.9000,1.0000,0.6500,1.0000,20,0.9692
140,0.8039,0.8039,0.8039,0.4500,0.9000,0.7000,1.0000,0.6000,1.0000,20,0.9714
150,0.8603,0.8603,0.8603,0.6100,0.9500,0.8500,1.0000,0.8000,1.0000,20,0.9733
160,0.7978,0.7978,0.7978,0.2500,0.9500,0.4500,1.0000,0.4000,1.0000,20,0.9750
170,0.8505,0.8505,0.8505,0.4600,0.9500,0.8000,1.0000,0.7500,1.0000,20,0.9765
180,0.8235,0.8235,0.8235,0.4600,0.8500,0.6500,1.0000,0.5000,1.0000,20,0.9778
190,0.8542,0.8542,0.8542,0.5600,0.9500,0.6500,1.0000,0.6000,1.0000,20,0.9789
200,0.8431,0.8431,0.8431,0.5100,0.9500,0.6500,1.0000,0.6000,1.0000,20,0.9800
210,0.8713,0.8713,0.8713,0.5800,1.0000,0.5000,1.0000,0.5000,1.0000,20,0.9810
220,0.9130,0.9130,0.9130,0.6600,0.9500,0.4500,1.0000,0.4000,1.0000,20,0.9818
230,0.8848,0.8848,0.8848,0.6200,1.0000,0.6500,1.0000,0.6500,1.0000,20,0.9826
240,0.9093,0.9093,0.9093,0.6900,1.0000,0.7500,1.0000,0.7500,1.0000,20,0.9833
250,0.9142,0.9142,0.9142,0.6900,1.0000,0.7000,1.0000,0.7000,1.0000,20,0.9840
260,0.9118,0.9118,0.9118,0.6400,1.0000,0.5500,1.0000,0.5500,1.0000,20,0.9846
270,0.9044,0.9044,0.9044,0.7300,1.0000,0.7000,1.0000,0.7000,1.0000,20,0.9852
280,0.9007,0.9007,0.9007,0.7300,1.0000,0.5500,1.0000,0.5500,1.0000,20,0.9857
290,0.9167,0.9167,0.9167,0.7700,1.0000,0.7500,1.0000,0.7500,1.0000,20,0.9862
300,0.9032,0.9032,0.9032,0.7600,0.9800,0.6440,1.0000,0.6240,1.0000,500,0.9867
