n_trained,F1_mean,F1_std,P_mean,P_std,R_mean,R_std,EM_mean,EM_std,gen_gram_mean,gen_gram_std,gen_novel_mean,gen_novel_std,gen_gram_novel_mean,gen_gram_novel_std,p_parse_legal_mean,p_parse_legal_std,prim_active_mean,prim_active_std
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,0.6639,0.1612,0.6639,0.1612,0.6639,0.1612,0.2155,0.0908,0.8175,0.1363,0.2700,0.1631,0.0875,0.0820,1.0000,0.0000,0.6150,0.0654
20,0.7700,0.0768,0.7700,0.0768,0.7700,0.0768,0.3850,0.1253,0.7650,0.1621,0.4425,0.1727,0.2075,0.1443,1.0000,0.0000,0.8075,0.0327
30,0.7962,0.0736,0.7962,0.0736,0.7962,0.0736,0.4330,0.1349,0.8075,0.1052,0.3475,0.1167,0.1550,0.0907,1.0000,0.0000,0.8717,0.0218
40,0.8027,0.0640,0.8027,0.0640,0.8027,0.0640,0.4470,0.1159,0.8700,0.1208,0.4175,0.1607,0.2875,0.1274,1.0000,0.0000,0.9038,0.0163
50,0.8192,0.0792,0.8192,0.0792,0.8192,0.0792,0.4805,0.1478,0.8800,0.0640,0.4000,0.1369,0.2800,0.1177,1.0000,0.0000,0.9230,0.0131
60,0.8290,0.0846,0.8290,0.0846,0.8290,0.0846,0.5110,0.1531,0.8600,0.0903,0.4550,0.1650,0.3150,0.1388,1.0000,0.0000,0.9358,0.0109
70,0.8387,0.0877,0.8387,0.0877,0.8387,0.0877,0.5225,0.1520,0.8650,0.0808,0.4900,0.0982,0.3550,0.1036,1.0000,0.0000,0.9450,0.0093
80,0.8516,0.0809,0.8516,0.0809,0.8516,0.0809,0.5645,0.1774,0.8925,0.0870,0.4650,0.1333,0.3575,0.1675,1.0000,0.0000,0.9519,0.0082
90,0.8538,0.0776,0.8538,0.0776,0.8538,0.0776,0.5730,0.1665,0.9075,0.0763,0.4775,0.0887,0.3850,0.1119,1.0000,0.0000,0.9572,0.0073
100,0.8750,0.0555,0.8750,0.0555,0.8750,0.0555,0.6025,0.1478,0.8650,0.0760,0.5075,0.1372,0.3725,0.1487,1.0000,0.0000,0.9615,0.0065
