n_trained,parse_F1,parse_P,parse_R,parse_EM,gen_gram,gen_novel,gen_lex,gen_gram_novel,p_parse_legal,gen_n,prim_active_frac
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000
10,0.7622,0.7622,0.7622,0.1900,0.9000,0.1500,1.0000,0.0500,1.0000,20,0.7000
20,0.6767,0.6767,0.6767,0.2800,0.9000,0.3000,1.0000,0.2000,1.0000,20,0.8500
30,0.6833,0.6833,0.6833,0.3600,0.9000,0.2000,1.0000,0.1000,1.0000,20,0.9000
40,0.7096,0.7096,0.7096,0.4300,0.9000,0.3500,1.0000,0.2500,1.0000,20,0.9250
50,0.6623,0.6623,0.6623,0.4200,0.9000,0.3500,1.0000,0.2500,1.0000,20,0.9400
60,0.6767,0.6767,0.6767,0.4200,0.9500,0.3000,1.0000,0.2500,1.0000,20,0.9500
70,0.6899,0.6899,0.6899,0.4500,0.9000,0.4500,1.0000,0.3500,1.0000,20,0.9571
80,0.7516,0.7516,0.7516,0.4900,0.9000,0.4000,1.0000,0.3000,1.0000,20,0.9625
90,0.7293,0.7293,0.7293,0.4900,0.8000,0.5000,1.0000,0.3000,1.0000,20,0.9667
100,0.9028,0.9028,0.9028,0.7300,0.9500,0.4500,1.0000,0.4000,1.0000,20,0.9700
110,0.9409,0.9409,0.9409,0.7900,0.9000,0.3000,1.0000,0.2000,1.0000,20,0.9727
120,0.9606,0.9606,0.9606,0.8300,1.0000,0.3500,1.0000,0.3500,1.0000,20,0.9750
130,0.9488,0.9488,0.9488,0.7900,1.0000,0.7000,1.0000,0.7000,1.0000,20,0.9769
140,0.9566,0.9566,0.9566,0.8400,1.0000,0.4000,1.0000,0.4000,1.0000,20,0.9786
150,0.9527,0.9527,0.9527,0.8200,0.9000,0.6000,1.0000,0.5000,1.0000,20,0.9800
160,0.7845,0.7845,0.7845,0.4900,0.9500,0.5000,1.0000,0.4500,1.0000,20,0.9812
170,0.8870,0.8870,0.8870,0.6800,0.9500,0.6500,1.0000,0.6000,1.0000,20,0.9824
180,0.8121,0.8121,0.8121,0.5500,0.9000,0.4500,1.0000,0.3500,1.0000,20,0.9833
190,0.8725,0.8725,0.8725,0.6700,0.9000,0.6500,1.0000,0.5500,1.0000,20,0.9842
200,0.8909,0.8909,0.8909,0.7000,0.8000,0.5000,1.0000,0.3000,1.0000,20,0.9850
210,0.8896,0.8896,0.8896,0.7000,0.9500,0.5500,1.0000,0.5000,1.0000,20,0.9857
220,0.9238,0.9238,0.9238,0.7800,0.9000,0.5000,1.0000,0.4000,1.0000,20,0.9864
230,0.9264,0.9264,0.9264,0.8000,0.8500,0.5500,1.0000,0.4000,1.0000,20,0.9870
240,0.9238,0.9238,0.9238,0.8000,0.9000,0.5500,1.0000,0.4500,1.0000,20,0.9875
250,0.9304,0.9304,0.9304,0.8200,0.9000,0.5500,1.0000,0.4500,1.0000,20,0.9880
260,0.9593,0.9593,0.9593,0.8900,1.0000,0.7500,1.0000,0.7500,1.0000,20,0.9885
270,0.9619,0.9619,0.9619,0.9000,0.9500,0.5500,1.0000,0.5000,1.0000,20,0.9889
280,0.9724,0.9724,0.9724,0.9300,1.0000,0.4000,1.0000,0.4000,1.0000,20,0.9893
290,0.9790,0.9790,0.9790,0.9400,0.9500,0.6000,1.0000,0.5500,1.0000,20,0.9897
300,0.9842,0.9842,0.9842,0.9600,0.9560,0.5200,1.0000,0.4760,1.0000,500,0.9900
