n_trained,F1_mean,F1_std,P_mean,P_std,R_mean,R_std,EM_mean,EM_std,gen_gram_mean,gen_gram_std,gen_novel_mean,gen_novel_std,gen_gram_novel_mean,gen_gram_novel_std,p_parse_legal_mean,p_parse_legal_std,prim_active_mean,prim_active_std
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7200,0.3096,0.3400,0.3057,0.0600,0.1200,0.0000,0.0000,0.7400,0.0490
20,0.1804,0.1475,0.2728,0.2238,0.1351,0.1106,0.0200,0.0400,0.8720,0.1114,0.1720,0.1628,0.0440,0.0880,0.0480,0.0776,0.8700,0.0245
30,0.4891,0.0458,0.5556,0.0370,0.4385,0.0561,0.1650,0.0374,0.9440,0.0344,0.1360,0.0958,0.0800,0.0858,0.4440,0.2099,0.9133,0.0163
40,0.5627,0.0433,0.6144,0.0315,0.5197,0.0513,0.2200,0.0400,0.9520,0.0500,0.1640,0.0512,0.1160,0.0294,0.5880,0.2069,0.9350,0.0122
50,0.6203,0.0336,0.6493,0.0325,0.5939,0.0354,0.2400,0.0752,0.9560,0.0150,0.2280,0.0917,0.1840,0.0933,0.7320,0.0431,0.9480,0.0098
60,0.6356,0.0464,0.6620,0.0494,0.6113,0.0442,0.2550,0.0797,0.9680,0.0204,0.2160,0.0784,0.1840,0.0889,0.8080,0.0412,0.9567,0.0082
70,0.6748,0.0502,0.6983,0.0543,0.6529,0.0470,0.2750,0.0592,0.9720,0.0299,0.1640,0.1031,0.1360,0.1031,0.7800,0.0645,0.9628,0.0070
80,0.6652,0.0977,0.6876,0.1035,0.6444,0.0926,0.3200,0.0980,0.9560,0.0320,0.2440,0.1054,0.2000,0.0938,0.8240,0.0233,0.9675,0.0061
90,0.6783,0.0848,0.7013,0.0909,0.6568,0.0794,0.3100,0.0930,0.9400,0.0607,0.1920,0.0601,0.1320,0.0240,0.7840,0.0320,0.9711,0.0054
100,0.7063,0.0585,0.7302,0.0651,0.6841,0.0527,0.3250,0.0894,0.9440,0.0463,0.2600,0.0681,0.2040,0.0294,0.8160,0.0557,0.9740,0.0049
110,0.6946,0.0609,0.7185,0.0657,0.6722,0.0567,0.2500,0.0935,0.9360,0.0625,0.2400,0.0335,0.1760,0.0344,0.7960,0.0344,0.9763,0.0045
120,0.7032,0.0949,0.7294,0.1015,0.6788,0.0890,0.3100,0.1007,0.9560,0.0480,0.2440,0.1155,0.2000,0.0716,0.8440,0.0612,0.9783,0.0041
130,0.6806,0.0638,0.7061,0.0708,0.6571,0.0581,0.2800,0.0812,0.9520,0.0098,0.2760,0.1015,0.2280,0.0960,0.7440,0.0367,0.9800,0.0038
140,0.7396,0.0643,0.7665,0.0701,0.7146,0.0594,0.3700,0.0992,0.9520,0.0299,0.3640,0.1155,0.3160,0.0941,0.8240,0.0650,0.9814,0.0035
150,0.7500,0.0379,0.7780,0.0440,0.7242,0.0339,0.3950,0.0914,0.9720,0.0204,0.3600,0.0716,0.3320,0.0627,0.7960,0.1007,0.9827,0.0033
160,0.7573,0.0682,0.7823,0.0620,0.7342,0.0740,0.3400,0.1147,0.9480,0.0392,0.3640,0.1209,0.3120,0.0826,0.8240,0.0543,0.9837,0.0031
