n_trained,parse_F1,parse_P,parse_R,parse_EM,gen_gram,gen_novel,gen_lex,gen_gram_novel,p_parse_legal,gen_n,prim_active_frac
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000
10,0.0000,0.0000,0.0000,0.0000,0.8600,0.4400,1.0000,0.3000,0.0000,50,0.8000
20,0.3131,0.4558,0.2384,0.1000,0.8000,0.4200,1.0000,0.2200,0.2000,50,0.9000
30,0.4713,0.5842,0.3950,0.1750,0.9000,0.2400,1.0000,0.1400,0.3000,50,0.9333
40,0.4900,0.5622,0.4342,0.2250,0.8600,0.2400,1.0000,0.1000,0.7200,50,0.9500
50,0.5922,0.6211,0.5658,0.2500,0.9600,0.3200,1.0000,0.2800,0.7200,50,0.9600
60,0.5889,0.6139,0.5658,0.2750,1.0000,0.2600,1.0000,0.2600,0.8000,50,0.9667
70,0.6460,0.6629,0.6299,0.3000,1.0000,0.0200,1.0000,0.0200,0.8000,50,0.9714
80,0.6218,0.6357,0.6085,0.3250,0.9400,0.1400,1.0000,0.0800,0.8200,50,0.9750
90,0.6679,0.6854,0.6512,0.3500,0.9800,0.1200,1.0000,0.1000,0.7600,50,0.9778
100,0.6727,0.6877,0.6584,0.3500,1.0000,0.1800,1.0000,0.1800,0.9200,50,0.9800
110,0.6204,0.6367,0.6050,0.2000,1.0000,0.2000,1.0000,0.2000,0.8200,50,0.9818
120,0.7509,0.7860,0.7189,0.3750,0.9800,0.2000,1.0000,0.1800,0.9200,50,0.9833
130,0.7191,0.7589,0.6833,0.2750,0.9600,0.2800,1.0000,0.2400,0.7000,50,0.9846
140,0.7175,0.7510,0.6868,0.3250,0.9600,0.3000,1.0000,0.2600,0.9000,50,0.9857
150,0.7594,0.8048,0.7189,0.4250,0.9800,0.4000,1.0000,0.3800,0.6800,50,0.9867
160,0.6504,0.6892,0.6157,0.2500,0.9800,0.3000,1.0000,0.2800,0.8800,50,0.9875
