n_trained,parse_F1,parse_P,parse_R,parse_EM,gen_gram,gen_novel,gen_lex,gen_n
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
10,0.0000,0.0000,0.0000,0.0000,1.0000,0.0667,1.0000,30
20,0.6290,0.6436,0.6151,0.2500,1.0000,0.0000,1.0000,30
30,0.4532,0.4726,0.4353,0.1750,1.0000,0.0667,1.0000,30
40,0.4691,0.5320,0.4196,0.2000,1.0000,0.0667,1.0000,30
50,0.3370,0.3957,0.2934,0.1500,1.0000,0.1333,1.0000,30
60,0.2687,0.3288,0.2271,0.1250,1.0000,0.1333,1.0000,30
70,0.1958,0.2500,0.1609,0.1250,1.0000,0.1000,1.0000,30
80,0.2342,0.2990,0.1924,0.1250,1.0000,0.3000,1.0000,30
90,0.3523,0.4041,0.3123,0.1750,1.0000,0.2333,1.0000,30
100,0.3005,0.3191,0.2839,0.1250,1.0000,0.3333,1.0000,30
110,0.3446,0.3709,0.3218,0.1250,0.9667,0.3667,1.0000,30
120,0.2671,0.2921,0.2461,0.1500,0.9333,0.4333,1.0000,30
130,0.3174,0.3457,0.2934,0.1500,0.9667,0.3000,1.0000,30
140,0.3276,0.3569,0.3028,0.1250,1.0000,0.3333,1.0000,30
150,0.3093,0.3396,0.2839,0.1250,1.0000,0.2333,1.0000,30
160,0.3172,0.3498,0.2902,0.1250,1.0000,0.2667,1.0000,30
