n_trained,F1_mean,F1_std,P_mean,P_std,R_mean,R_std,EM_mean,EM_std,gen_gram_mean,gen_gram_std,gen_novel_mean,gen_novel_std,gen_gram_novel_mean,gen_gram_novel_std,p_parse_legal_mean,p_parse_legal_std,prim_active_mean,prim_active_std
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,0.0917,0.1758,0.1190,0.2231,0.0750,0.1449,0.0050,0.0100,0.9280,0.1017,0.1840,0.1141,0.1120,0.1078,0.0160,0.0320,1.0000,0.0000
20,0.8210,0.0606,0.8386,0.0535,0.8068,0.0784,0.4400,0.1471,0.9680,0.0640,0.1640,0.0889,0.1320,0.1107,0.8600,0.2800,1.0000,0.0000
30,0.8715,0.0419,0.8715,0.0419,0.8715,0.0419,0.5450,0.0660,0.9840,0.0320,0.2480,0.1204,0.2320,0.1306,1.0000,0.0000,1.0000,0.0000
40,0.8760,0.0727,0.8760,0.0727,0.8760,0.0727,0.5650,0.2223,0.9760,0.0196,0.3000,0.0903,0.2760,0.0907,1.0000,0.0000,1.0000,0.0000
50,0.8769,0.0216,0.8769,0.0216,0.8769,0.0216,0.5600,0.1068,0.9840,0.0233,0.2520,0.0700,0.2360,0.0674,1.0000,0.0000,1.0000,0.0000
60,0.8757,0.0293,0.8757,0.0293,0.8757,0.0293,0.6100,0.1158,0.9680,0.0546,0.2520,0.1269,0.2200,0.0938,1.0000,0.0000,1.0000,0.0000
70,0.8552,0.0590,0.8552,0.0590,0.8552,0.0590,0.5600,0.0982,0.9720,0.0371,0.3480,0.2126,0.3200,0.1863,1.0000,0.0000,1.0000,0.0000
80,0.8614,0.0589,0.8614,0.0589,0.8614,0.0589,0.5500,0.1525,0.9760,0.0233,0.3520,0.1774,0.3280,0.1633,1.0000,0.0000,1.0000,0.0000
90,0.8773,0.0742,0.8773,0.0742,0.8773,0.0742,0.6050,0.2040,0.9880,0.0240,0.4120,0.2069,0.4000,0.1972,1.0000,0.0000,1.0000,0.0000
100,0.8639,0.0630,0.8639,0.0630,0.8639,0.0630,0.5500,0.1681,0.9960,0.0080,0.4320,0.1746,0.4280,0.1714,1.0000,0.0000,1.0000,0.0000
110,0.8751,0.0717,0.8751,0.0717,0.8751,0.0717,0.5750,0.1817,0.9560,0.0599,0.4600,0.1706,0.4160,0.1299,1.0000,0.0000,1.0000,0.0000
120,0.9004,0.0540,0.9004,0.0540,0.9004,0.0540,0.6200,0.1364,0.9720,0.0240,0.4480,0.1500,0.4200,0.1327,1.0000,0.0000,1.0000,0.0000
130,0.8910,0.0756,0.8910,0.0756,0.8910,0.0756,0.6000,0.2460,0.9360,0.0557,0.5760,0.1822,0.5120,0.1468,1.0000,0.0000,1.0000,0.0000
140,0.8035,0.0992,0.8035,0.0992,0.8035,0.0992,0.4550,0.2033,0.9640,0.0294,0.5440,0.1189,0.5080,0.1230,1.0000,0.0000,1.0000,0.0000
150,0.8957,0.0384,0.8957,0.0384,0.8957,0.0384,0.6200,0.1269,0.9720,0.0204,0.5600,0.1678,0.5320,0.1516,1.0000,0.0000,1.0000,0.0000
160,0.9159,0.0187,0.9159,0.0187,0.9159,0.0187,0.6750,0.0274,0.9400,0.0759,0.5520,0.2069,0.4920,0.1510,1.0000,0.0000,1.0000,0.0000
