n_trained,parse_F1,parse_P,parse_R,parse_EM,gen_gram,gen_novel,gen_lex,gen_gram_novel,p_parse_legal,gen_n,prim_active_frac
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000
10,0.0000,0.0000,0.0000,0.0000,0.9000,0.2800,1.0000,0.1800,0.0000,50,1.0000
20,0.7492,0.7492,0.7492,0.4500,1.0000,0.1800,1.0000,0.1800,1.0000,50,1.0000
30,0.8034,0.8034,0.8034,0.4750,1.0000,0.4200,1.0000,0.4200,1.0000,50,1.0000
40,0.9220,0.9220,0.9220,0.6500,0.9600,0.4600,1.0000,0.4200,1.0000,50,1.0000
50,0.8644,0.8644,0.8644,0.6500,1.0000,0.3600,1.0000,0.3600,1.0000,50,1.0000
60,0.9119,0.9119,0.9119,0.7500,1.0000,0.2600,1.0000,0.2600,1.0000,50,1.0000
70,0.9254,0.9254,0.9254,0.7000,0.9800,0.1200,1.0000,0.1000,1.0000,50,1.0000
80,0.9220,0.9220,0.9220,0.7500,0.9600,0.2000,1.0000,0.1600,1.0000,50,1.0000
90,0.9593,0.9593,0.9593,0.8500,1.0000,0.1600,1.0000,0.1600,1.0000,50,1.0000
100,0.9186,0.9186,0.9186,0.7500,1.0000,0.3200,1.0000,0.3200,1.0000,50,1.0000
110,0.9390,0.9390,0.9390,0.8000,1.0000,0.3600,1.0000,0.3600,1.0000,50,1.0000
120,0.9763,0.9763,0.9763,0.8250,1.0000,0.3200,1.0000,0.3200,1.0000,50,1.0000
130,0.9254,0.9254,0.9254,0.7750,0.9800,0.3800,1.0000,0.3600,1.0000,50,1.0000
140,0.8508,0.8508,0.8508,0.5000,1.0000,0.4600,1.0000,0.4600,1.0000,50,1.0000
150,0.9051,0.9051,0.9051,0.6750,1.0000,0.3600,1.0000,0.3600,1.0000,50,1.0000
160,0.8915,0.8915,0.8915,0.7250,1.0000,0.2800,1.0000,0.2800,1.0000,50,1.0000
