n_trained,parse_F1,parse_P,parse_R,parse_EM,gen_gram,gen_novel,gen_lex,gen_n
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
10,0.3295,0.3625,0.3021,0.2250,1.0000,0.4333,1.0000,30
20,0.8750,0.8750,0.8750,0.6250,1.0000,0.4333,1.0000,30
30,0.8576,0.8576,0.8576,0.5750,0.9667,0.3000,1.0000,30
40,0.9303,0.9336,0.9271,0.7750,1.0000,0.3667,1.0000,30
50,0.7708,0.7708,0.7708,0.3000,0.9667,0.2333,1.0000,30
60,0.8125,0.8125,0.8125,0.4000,1.0000,0.4333,1.0000,30
70,0.8403,0.8403,0.8403,0.4000,1.0000,0.3333,1.0000,30
80,0.8542,0.8542,0.8542,0.5000,1.0000,0.3333,1.0000,30
90,0.9444,0.9444,0.9444,0.7750,1.0000,0.2667,1.0000,30
100,0.9236,0.9236,0.9236,0.6750,1.0000,0.3667,1.0000,30
110,0.9271,0.9271,0.9271,0.7750,1.0000,0.3000,1.0000,30
120,0.9236,0.9236,0.9236,0.6750,1.0000,0.3333,1.0000,30
130,0.9028,0.9028,0.9028,0.5500,1.0000,0.4000,1.0000,30
140,0.7865,0.8066,0.7674,0.5000,1.0000,0.6000,1.0000,30
150,0.8885,0.8916,0.8854,0.6000,0.9667,0.5333,1.0000,30
160,0.8955,0.8986,0.8924,0.6500,1.0000,0.3667,1.0000,30
