n_trained,F1_mean,F1_std,P_mean,P_std,R_mean,R_std,EM_mean,EM_std,gen_gram_mean,gen_gram_std,gen_novel_mean,gen_novel_std,gen_gram_novel_mean,gen_gram_novel_std,p_parse_legal_mean,p_parse_legal_std,prim_active_mean,prim_active_std
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7040,0.3321,0.4160,0.3453,0.1200,0.1784,0.0000,0.0000,0.9200,0.0748
20,0.3641,0.1936,0.4423,0.2443,0.3164,0.1735,0.0800,0.0927,0.9280,0.0483,0.2560,0.1106,0.1840,0.1023,0.2560,0.3499,0.9600,0.0374
30,0.6631,0.0501,0.6765,0.0477,0.6521,0.0615,0.2650,0.1271,0.9160,0.0804,0.3280,0.1760,0.2440,0.1176,0.8240,0.3421,0.9733,0.0250
40,0.7073,0.0630,0.7078,0.0634,0.7067,0.0626,0.3550,0.0620,0.9520,0.0371,0.2240,0.1196,0.1760,0.0833,0.9880,0.0240,0.9800,0.0187
50,0.7586,0.0707,0.7604,0.0721,0.7569,0.0696,0.4400,0.0752,0.9440,0.0480,0.2760,0.0496,0.2200,0.0438,0.9920,0.0160,0.9840,0.0150
60,0.8043,0.0767,0.8081,0.0780,0.8007,0.0761,0.5150,0.0957,0.9280,0.0640,0.3560,0.1335,0.2840,0.0871,0.9880,0.0240,0.9867,0.0125
70,0.8036,0.0593,0.8036,0.0593,0.8036,0.0593,0.4800,0.1391,0.9280,0.0466,0.3720,0.1217,0.3000,0.1103,1.0000,0.0000,0.9886,0.0107
80,0.8144,0.0659,0.8144,0.0659,0.8144,0.0659,0.4850,0.1136,0.9720,0.0204,0.2560,0.1405,0.2280,0.1312,1.0000,0.0000,0.9900,0.0094
90,0.8046,0.0811,0.8046,0.0811,0.8046,0.0811,0.4650,0.1310,0.9760,0.0388,0.3600,0.1117,0.3360,0.0958,1.0000,0.0000,0.9911,0.0083
100,0.7843,0.0740,0.7843,0.0740,0.7843,0.0740,0.4300,0.1269,0.9320,0.0614,0.4160,0.1587,0.3480,0.1395,1.0000,0.0000,0.9920,0.0075
110,0.7483,0.0304,0.7483,0.0304,0.7483,0.0304,0.3700,0.0600,0.9480,0.0160,0.4640,0.0871,0.4120,0.0835,1.0000,0.0000,0.9927,0.0068
120,0.7982,0.0680,0.7982,0.0680,0.7982,0.0680,0.4350,0.1007,0.9320,0.0515,0.4760,0.0763,0.4080,0.1243,1.0000,0.0000,0.9933,0.0062
130,0.7989,0.0619,0.7989,0.0619,0.7989,0.0619,0.4950,0.1077,0.9320,0.0546,0.4680,0.0431,0.4000,0.0867,1.0000,0.0000,0.9938,0.0058
140,0.8285,0.0251,0.8285,0.0251,0.8285,0.0251,0.5350,0.0255,0.9640,0.0294,0.4560,0.1176,0.4200,0.1110,1.0000,0.0000,0.9943,0.0053
150,0.7888,0.1189,0.7888,0.1189,0.7888,0.1189,0.4800,0.1654,0.9320,0.0483,0.5040,0.0898,0.4360,0.0742,1.0000,0.0000,0.9947,0.0050
160,0.8000,0.0811,0.8000,0.0811,0.8000,0.0811,0.4750,0.0935,0.9280,0.0627,0.4800,0.1004,0.4080,0.0845,1.0000,0.0000,0.9950,0.0047
