n_trained,parse_F1,parse_P,parse_R,parse_EM,gen_gram,gen_novel,gen_lex,gen_n
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
10,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,1.0000,30
20,0.8893,0.8924,0.8862,0.5250,1.0000,0.1000,1.0000,30
30,0.8221,0.8493,0.7966,0.5250,1.0000,0.0667,1.0000,30
40,0.8118,0.8204,0.8034,0.4500,1.0000,0.1333,1.0000,30
50,0.8140,0.8286,0.8000,0.5000,1.0000,0.3000,1.0000,30
60,0.6866,0.7014,0.6724,0.3000,1.0000,0.2333,1.0000,30
70,0.7867,0.7979,0.7759,0.3750,1.0000,0.1333,1.0000,30
80,0.7972,0.8085,0.7862,0.5250,1.0000,0.2333,1.0000,30
90,0.7972,0.8085,0.7862,0.5250,1.0000,0.3667,1.0000,30
100,0.7958,0.8129,0.7793,0.5000,1.0000,0.2000,1.0000,30
110,0.8310,0.8489,0.8138,0.5500,1.0000,0.2333,1.0000,30
120,0.7208,0.7391,0.7034,0.2750,1.0000,0.3000,1.0000,30
130,0.7420,0.7609,0.7241,0.4000,1.0000,0.3000,1.0000,30
140,0.7282,0.7509,0.7069,0.3750,1.0000,0.5333,1.0000,30
150,0.7344,0.7601,0.7103,0.3250,1.0000,0.4000,1.0000,30
160,0.7171,0.7509,0.6862,0.3250,1.0000,0.4333,1.0000,30
