n_trained,parse_F1,parse_P,parse_R,parse_EM,gen_gram,gen_novel,gen_lex,gen_gram_novel,p_parse_legal,gen_n,prim_active_frac
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000
10,0.0000,0.0000,0.0000,0.0000,0.1400,1.0000,1.0000,0.1400,0.0000,50,1.0000
20,0.4981,0.5519,0.4539,0.0000,0.9600,0.3400,1.0000,0.3000,0.0000,50,1.0000
30,0.6451,0.6451,0.6451,0.3250,0.9600,0.3200,1.0000,0.2800,1.0000,50,1.0000
40,0.6246,0.6246,0.6246,0.2750,0.9800,0.1600,1.0000,0.1400,1.0000,50,1.0000
50,0.6758,0.6758,0.6758,0.3750,0.9400,0.3200,1.0000,0.2600,1.0000,50,1.0000
60,0.7235,0.7235,0.7235,0.4250,0.9000,0.3400,1.0000,0.2400,1.0000,50,1.0000
70,0.7304,0.7304,0.7304,0.3250,0.9000,0.3400,1.0000,0.2400,1.0000,50,1.0000
80,0.7167,0.7167,0.7167,0.3000,0.9600,0.1600,1.0000,0.1200,1.0000,50,1.0000
90,0.6928,0.6928,0.6928,0.3000,0.9800,0.4600,1.0000,0.4400,1.0000,50,1.0000
100,0.7747,0.7747,0.7747,0.3750,0.9200,0.5200,1.0000,0.4400,1.0000,50,1.0000
110,0.7986,0.7986,0.7986,0.4000,0.9400,0.4200,1.0000,0.3600,1.0000,50,1.0000
120,0.8294,0.8294,0.8294,0.3750,0.9600,0.5600,1.0000,0.5200,1.0000,50,1.0000
130,0.7850,0.7850,0.7850,0.4250,0.9800,0.4400,1.0000,0.4200,1.0000,50,1.0000
140,0.8464,0.8464,0.8464,0.5750,0.9800,0.4800,1.0000,0.4600,1.0000,50,1.0000
150,0.8123,0.8123,0.8123,0.5000,0.9400,0.5800,1.0000,0.5200,1.0000,50,1.0000
160,0.8294,0.8294,0.8294,0.4250,0.9600,0.4800,1.0000,0.4400,1.0000,50,1.0000
