n_trained,F1_mean,F1_std,EM_mean,EM_std,gen_gram_mean,gen_gram_std,gen_novel_mean,gen_novel_std
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
25,0.7156,0.1456,0.3700,0.1606,0.9667,0.0667,0.1267,0.1163
50,0.6215,0.1300,0.2820,0.1614,1.0000,0.0000,0.1133,0.0452
75,0.5746,0.1699,0.2640,0.1258,0.9933,0.0133,0.1467,0.0653
100,0.5838,0.0816,0.2460,0.0786,1.0000,0.0000,0.2000,0.0869
125,0.5550,0.1032,0.2580,0.0863,1.0000,0.0000,0.2333,0.1011
150,0.5504,0.0829,0.2300,0.0772,1.0000,0.0000,0.2733,0.1063
175,0.5501,0.0590,0.2500,0.1108,1.0000,0.0000,0.2667,0.0989
200,0.5289,0.0449,0.2580,0.0877,1.0000,0.0000,0.3400,0.1421
225,0.4984,0.0491,0.2160,0.0758,0.9933,0.0133,0.4533,0.1343
250,0.4696,0.0434,0.1960,0.0887,1.0000,0.0000,0.4733,0.1389
275,0.4840,0.0406,0.1980,0.0673,0.9800,0.0400,0.4333,0.1801
300,0.4821,0.0404,0.2040,0.0393,1.0000,0.0000,0.4667,0.1333
325,0.4887,0.0649,0.2020,0.0646,1.0000,0.0000,0.4334,0.1282
350,0.4897,0.0736,0.2080,0.0877,0.9933,0.0133,0.4800,0.1408
375,0.5112,0.0565,0.2320,0.0813,1.0000,0.0000,0.5400,0.1062
400,0.4889,0.0473,0.2400,0.0820,0.9867,0.0163,0.4933,0.1421
