n_trained,parse_F1,parse_P,parse_R,parse_EM,gen_gram,gen_novel,gen_lex,gen_n
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
25,0.8270,0.8471,0.8079,0.5100,0.8333,0.2667,1.0000,30
50,0.7007,0.7406,0.6648,0.3900,1.0000,0.1667,1.0000,30
75,0.6000,0.6467,0.5596,0.2900,0.9667,0.1333,1.0000,30
100,0.6452,0.6935,0.6031,0.3700,1.0000,0.3333,1.0000,30
125,0.6847,0.7386,0.6381,0.3900,1.0000,0.3000,1.0000,30
150,0.5789,0.6416,0.5273,0.3100,1.0000,0.2333,1.0000,30
175,0.6264,0.7112,0.5596,0.4000,1.0000,0.3667,1.0000,30
200,0.5929,0.6793,0.5259,0.4000,1.0000,0.2000,1.0000,30
225,0.5862,0.6758,0.5175,0.3300,1.0000,0.3000,1.0000,30
250,0.5452,0.6196,0.4867,0.3200,1.0000,0.5667,1.0000,30
275,0.5568,0.6360,0.4951,0.3100,1.0000,0.4333,1.0000,30
300,0.4992,0.5714,0.4432,0.2600,1.0000,0.6333,1.0000,30
325,0.5351,0.6119,0.4755,0.3000,1.0000,0.5667,1.0000,30
350,0.5610,0.6622,0.4867,0.3500,1.0000,0.7000,1.0000,30
375,0.5443,0.6389,0.4741,0.3400,1.0000,0.7333,1.0000,30
400,0.5481,0.6469,0.4755,0.3500,0.9667,0.6667,1.0000,30
