n_trained,F1_mean,F1_std,EM_mean,EM_std,gen_gram_mean,gen_gram_std,gen_novel_mean,gen_novel_std
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
25,0.8880,0.0473,0.6000,0.0822,1.0000,0.0000,0.0667,0.0919
50,0.8131,0.0448,0.4560,0.1104,1.0000,0.0000,0.2000,0.1247
75,0.8561,0.0431,0.5720,0.1219,1.0000,0.0000,0.2400,0.1769
100,0.8155,0.0830,0.4880,0.2027,0.9933,0.0133,0.3467,0.0980
125,0.8273,0.0398,0.5180,0.1433,0.9933,0.0133,0.3800,0.0859
150,0.7957,0.0440,0.4080,0.0898,1.0000,0.0000,0.4600,0.1289
175,0.7826,0.0678,0.4120,0.2097,1.0000,0.0000,0.4867,0.1376
200,0.7904,0.0548,0.4100,0.1117,0.9933,0.0133,0.4533,0.1258
225,0.8464,0.0360,0.5280,0.1194,0.9867,0.0163,0.4933,0.0975
250,0.8280,0.0611,0.4780,0.1530,0.9933,0.0133,0.5200,0.1543
275,0.7763,0.0785,0.4180,0.0697,0.9800,0.0267,0.6466,0.1067
300,0.7681,0.1110,0.3740,0.1678,0.9800,0.0163,0.5800,0.0909
325,0.7433,0.0304,0.3340,0.0742,1.0000,0.0000,0.5334,0.0843
350,0.7177,0.0959,0.3260,0.0965,0.9467,0.0618,0.5867,0.1327
375,0.7533,0.1203,0.4360,0.0717,0.9600,0.0490,0.5800,0.0806
400,0.7138,0.1512,0.3680,0.1211,0.9667,0.0365,0.6867,0.0859
