n_trained,parse_F1,parse_P,parse_R,parse_EM,gen_gram,gen_novel,gen_lex,gen_n
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
25,0.9127,0.9151,0.9104,0.5700,1.0000,0.0000,1.0000,30
50,0.8452,0.8518,0.8387,0.5600,1.0000,0.0667,1.0000,30
75,0.8911,0.9028,0.8796,0.7200,1.0000,0.0000,1.0000,30
100,0.7293,0.7379,0.7209,0.3200,1.0000,0.3667,1.0000,30
125,0.8101,0.8175,0.8028,0.4300,1.0000,0.3000,1.0000,30
150,0.8449,0.8460,0.8438,0.4100,1.0000,0.3667,1.0000,30
175,0.8793,0.8816,0.8771,0.6100,1.0000,0.3667,1.0000,30
200,0.8077,0.8087,0.8067,0.4600,1.0000,0.4000,1.0000,30
225,0.7963,0.8178,0.7759,0.3500,1.0000,0.4667,1.0000,30
250,0.8294,0.8506,0.8092,0.4900,1.0000,0.4667,1.0000,30
275,0.6772,0.6959,0.6594,0.3500,1.0000,0.5333,1.0000,30
300,0.8590,0.8762,0.8425,0.6000,0.9667,0.6333,1.0000,30
325,0.7399,0.7764,0.7068,0.4100,1.0000,0.5667,1.0000,30
350,0.5509,0.6264,0.4917,0.2300,0.9667,0.5333,1.0000,30
375,0.5380,0.6117,0.4802,0.3100,1.0000,0.5667,1.0000,30
400,0.4736,0.5346,0.4251,0.2300,0.9667,0.7667,1.0000,30
