n_trained,parse_F1,parse_P,parse_R,parse_EM,gen_gram,gen_novel,gen_lex,gen_n
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
25,0.7849,0.8574,0.7237,0.2400,1.0000,0.0000,1.0000,30
50,0.8354,0.8448,0.8263,0.5300,1.0000,0.1667,1.0000,30
75,0.7989,0.8190,0.7798,0.5400,1.0000,0.2667,1.0000,30
100,0.7521,0.7845,0.7223,0.4200,1.0000,0.2667,1.0000,30
125,0.7261,0.7720,0.6854,0.4000,1.0000,0.2333,1.0000,30
150,0.6755,0.7347,0.6252,0.3400,1.0000,0.1333,1.0000,30
175,0.7239,0.7586,0.6922,0.2700,1.0000,0.4333,1.0000,30
200,0.6914,0.7235,0.6621,0.2800,1.0000,0.4000,1.0000,30
225,0.7461,0.7843,0.7114,0.4000,1.0000,0.4000,1.0000,30
250,0.6000,0.6230,0.5787,0.2600,1.0000,0.4667,1.0000,30
275,0.5809,0.6121,0.5527,0.1700,1.0000,0.7667,1.0000,30
300,0.6452,0.6777,0.6156,0.2300,1.0000,0.7667,1.0000,30
325,0.7430,0.7633,0.7237,0.3900,1.0000,0.6667,1.0000,30
350,0.6332,0.6458,0.6211,0.2400,1.0000,0.6333,1.0000,30
375,0.6643,0.6766,0.6525,0.2300,1.0000,0.7667,1.0000,30
400,0.5314,0.5420,0.5212,0.1700,1.0000,0.6667,1.0000,30
